<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VKCO;60;231208;110000;581;588;581;585.4;134,527
VKCO;60;231208;120000;585.4;587.8;585.2;586.2;103,728
VKCO;60;231208;130000;586.2;587.4;584.8;586;79,947
VKCO;60;231208;140000;586.2;586.6;582;583;101,022
VKCO;60;231208;150000;583;583;578.2;578.4;61,959
VKCO;60;231208;160000;578.6;581.6;577.4;580;71,493
VKCO;60;231208;170000;580.2;581;578.6;580;35,977
VKCO;60;231208;180000;580;581.2;578.4;579;30,485
VKCO;60;231208;190000;578.8;579;575;575.8;54,370
VKCO;60;231208;200000;576.8;577.8;574;577.6;30,506
VKCO;60;231208;210000;577.6;577.8;575;575.6;17,642
VKCO;60;231208;220000;575.4;576;574;574.6;40,555
VKCO;60;231208;230000;574.4;575;573;574;56,846
VKCO;60;231209;000000;574;574.6;572;573.6;20,327
VKCO;60;231211;110000;574.2;575;560.6;561.6;402,415
VKCO;60;231211;120000;561.8;566;560.8;564.6;266,780
VKCO;60;231211;130000;564.4;565.4;558;560.8;327,364
VKCO;60;231211;140000;561;561.4;555.4;556;160,206
VKCO;60;231211;150000;556.2;557.8;551.2;553.2;295,566
VKCO;60;231211;160000;553.2;556;551;552.6;303,050
VKCO;60;231211;170000;552.4;555.4;550;553.8;195,031
VKCO;60;231211;180000;554;558.8;553.4;557;129,040
VKCO;60;231211;190000;557;557.4;551.2;552.2;63,660
VKCO;60;231211;200000;552.2;552.6;543.6;549.2;228,876
VKCO;60;231211;210000;549;549.2;545.4;547.4;45,789
VKCO;60;231211;220000;547.4;547.6;541.2;543.2;130,370
VKCO;60;231211;230000;543.2;543.4;536.8;539.8;135,557
VKCO;60;231212;000000;539.8;542;537.2;539.8;55,276
VKCO;60;231212;110000;541.6;546.8;532.8;537.8;582,016
VKCO;60;231212;120000;537.8;538.4;520.2;527.6;967,204
VKCO;60;231212;130000;527.4;533;527.4;531.8;324,811
VKCO;60;231212;140000;531.8;536.8;531.2;536;133,411
VKCO;60;231212;150000;536.2;539;534;538.6;127,743
VKCO;60;231212;160000;538.6;539.2;533.2;537.6;121,730
VKCO;60;231212;170000;537.6;540;537.2;539.2;152,600
VKCO;60;231212;180000;539.2;542.4;539;541.2;176,458
VKCO;60;231212;190000;541.2;541.4;538.2;538.2;48,294
VKCO;60;231212;200000;538.2;538.2;533.4;537.4;51,010
VKCO;60;231212;210000;537.4;538;533.4;535;17,359
VKCO;60;231212;220000;535;535.6;531.6;533.8;26,609
VKCO;60;231212;230000;533.6;533.8;532;533.6;15,828
VKCO;60;231213;000000;533.6;537.8;533.2;534.4;21,847
VKCO;60;231213;110000;534.6;554.2;532.8;549.8;637,573
VKCO;60;231213;120000;549.8;551.6;544.6;550.6;186,594
VKCO;60;231213;130000;551;563;550.8;557.4;393,948
VKCO;60;231213;140000;557.4;563;556.8;559.4;137,000
VKCO;60;231213;150000;559.4;560.8;552.8;558.4;195,709
VKCO;60;231213;160000;558.8;560.4;556;556.2;63,013
VKCO;60;231213;170000;556.6;558;555.8;556.4;39,473
VKCO;60;231213;180000;557;557.4;553.6;554;92,063
VKCO;60;231213;190000;554.2;554.4;551;552.2;57,815
VKCO;60;231213;200000;552.2;554;550.2;552.6;60,832
VKCO;60;231213;210000;552.8;560;551.6;554.8;91,016
VKCO;60;231213;220000;554.8;556;553;553.8;12,909
VKCO;60;231213;230000;553.8;555.6;552;554.8;33,320
VKCO;60;231214;000000;554.6;554.8;552;554.8;43,694
VKCO;60;231214;110000;559.8;564;555;556;257,269
VKCO;60;231214;120000;556;562;556;556.6;88,178
VKCO;60;231214;130000;556.8;559.4;556;557;48,401
VKCO;60;231214;140000;556.8;556.8;551.2;553;84,630
VKCO;60;231214;150000;552.8;554.2;551;551.8;42,915
VKCO;60;231214;160000;552;553.6;551;553;54,590
VKCO;60;231214;170000;553.2;554;553;553.2;40,424
VKCO;60;231214;180000;553.2;554.2;551.2;552.2;58,625
VKCO;60;231214;190000;552;552.4;550.4;550.6;54,690
VKCO;60;231214;200000;550.6;552.6;545;549.2;100,670
VKCO;60;231214;210000;548.6;549.2;545;545;34,961
VKCO;60;231214;220000;545;546.8;545;546.2;48,131
VKCO;60;231214;230000;546.2;546.6;545;545.4;26,481
VKCO;60;231215;000000;545.8;545.8;545;545;12,065
VKCO;60;231215;110000;545.2;550;543.2;548.6;80,159
VKCO;60;231215;120000;548.6;554.2;548;550.4;116,694
VKCO;60;231215;130000;550.4;551.6;545.2;548;45,664
VKCO;60;231215;140000;548;562;543;553.6;276,629
VKCO;60;231215;150000;553.6;562;553.6;561.2;155,596
VKCO;60;231215;160000;560.8;561.4;556;557.8;56,130
VKCO;60;231215;170000;558;573.4;557.4;570;393,925
VKCO;60;231215;180000;570;570.2;564;567.8;127,113
VKCO;60;231215;190000;567.8;568.2;565.2;566;36,787
VKCO;60;231215;200000;566;569.6;564.8;568;31,963
VKCO;60;231215;210000;567.8;570;567.6;568.8;22,310
VKCO;60;231215;220000;568.8;569.4;567.4;569.4;17,001
VKCO;60;231215;230000;569;569.6;567.4;567.4;14,297
VKCO;60;231216;000000;567.6;568;566;566.8;23,798
VKCO;60;231218;110000;571.6;582;557;576.6;619,155
VKCO;60;231218;120000;576.4;581;576;580.2;140,636
VKCO;60;231218;130000;580.8;583.2;576.2;579;140,965
VKCO;60;231218;140000;578.8;579.6;574.4;576;82,636
VKCO;60;231218;150000;576.2;581.6;575.4;581.4;69,438
VKCO;60;231218;160000;581.4;585;580.8;581.2;149,627
VKCO;60;231218;170000;581.2;581.4;578.4;579.8;51,947
VKCO;60;231218;180000;580;583.8;575.4;580.8;128,792
VKCO;60;231218;190000;580.8;586;579.6;584.6;109,628
VKCO;60;231218;200000;584.6;584.6;577.2;580.6;52,856
VKCO;60;231218;210000;580.6;582;580.4;581.8;15,036
VKCO;60;231218;220000;581.8;585.2;579;583.8;72,418
VKCO;60;231218;230000;583.6;584.8;583.4;584.2;21,057
VKCO;60;231219;000000;584.2;584.6;582.4;583;21,833
