<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH,60,140222,0800,6684,6695,6524.5,6667,122566
LKOH,60,140222,0900,6658.5,6780,6633.5,6759,48080
LKOH,60,140222,1000,6760,6795,6687,6701,62167
LKOH,60,140222,1100,6692,6793,6680,6735.5,88863
LKOH,60,140222,1200,6735.5,6739,6587,6607,176028
LKOH,60,140222,1300,6607,6744,6592,6654,153491
LKOH,60,140222,1400,6652.5,6704.5,6620.5,6651.5,117928
LKOH,60,140222,1500,6651.5,6721.5,6625.5,6721,139177
LKOH,60,140222,1600,6721,6875.5,6696,6824,258044
LKOH,60,140222,1700,6824.5,6885,6810,6851.5,182948
LKOH,60,140222,1800,6854.5,6858.5,6771,6821,133453
LKOH,60,140222,1900,6822.5,6842,6787,6800.5,236318
LKOH,60,140222,2000,6801,6850,6795.5,6835,68810
LKOH,60,140222,2100,6833.5,6854,6830,6848,17167
LKOH,60,140222,2200,6848,6850,6710,6755,44808
LKOH,60,140222,2300,6752,6822.5,6705,6812,68172
LKOH,60,150222,0000,6816.5,6833,6778.5,6796,31611
LKOH,60,150222,0800,6825.5,6856,6793.5,6811,27897
LKOH,60,150222,0900,6820,6820,6783,6800,16522
LKOH,60,150222,1000,6798,6835,6796.5,6831.5,18388
LKOH,60,150222,1100,6834.5,6867,6805.5,6867,61085
LKOH,60,150222,1200,6867,6989,6865,6988,395016
LKOH,60,150222,1300,6989,7029,6981.5,7027,224608
LKOH,60,150222,1400,7028,7042,6957,7016,191171
LKOH,60,150222,1500,7013.5,7050,7008,7028,111460
LKOH,60,150222,1600,7026,7040,6995.5,7019,67356
LKOH,60,150222,1700,7021,7060,7004,7056,85233
LKOH,60,150222,1800,7057,7077.5,7003,7007.5,209097
LKOH,60,150222,1900,7014.5,7018.5,6951.5,6982,261569
LKOH,60,150222,2000,6985.5,6996,6946,6955,47787
LKOH,60,150222,2100,6954,6970,6940.5,6947.5,12697
LKOH,60,150222,2200,6947.5,6972.5,6937,6970,10323
LKOH,60,150222,2300,6969,6976.5,6955,6967.5,12100
LKOH,60,160222,0000,6969.5,6998,6961,6979,26533
LKOH,60,160222,0800,7014.5,7039,7000,7024,35324
LKOH,60,160222,0900,7024,7040,7012,7030,25843
LKOH,60,160222,1000,7032,7068,7015,7059.5,41794
LKOH,60,160222,1100,7056,7059,6951,6959,142961
LKOH,60,160222,1200,6959,7004,6952,6993.5,104582
LKOH,60,160222,1300,6993.5,7005,6909,6912,145945
LKOH,60,160222,1400,6912,6968.5,6902.5,6963.5,92773
LKOH,60,160222,1500,6962.5,6987,6956.5,6968,86559
LKOH,60,160222,1600,6968.5,6975,6917,6950.5,67954
LKOH,60,160222,1700,6952,6984,6947,6959.5,76607
LKOH,60,160222,1800,6958,6980,6920,6947,118534
LKOH,60,160222,1900,6947,6994,6946,6994,123439
LKOH,60,160222,2000,6994,6999,6957,6965.5,38380
LKOH,60,160222,2100,6965.5,6986,6953,6969.5,17791
LKOH,60,160222,2200,6970,6977,6954,6962.5,14780
LKOH,60,160222,2300,6965.5,6993,6955,6975,27097
LKOH,60,170222,0000,6979,6994,6968,6970,19370
LKOH,60,170222,0800,6956,6968,6903,6919,56936
