<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ETHUSDT,D,160319,0300,132.24,137.62,132.18,136.56,295832.26562
ETHUSDT,D,170319,0300,136.6,144.47,136.51,140.92,474664.10197
ETHUSDT,D,180319,0300,140.94,141.07,137.2,138.67,252697.08148
ETHUSDT,D,190319,0300,138.67,142.01,136.1,137.59,281718.96195
ETHUSDT,D,200319,0300,137.62,139.38,136.97,138.55,218577.45208
ETHUSDT,D,210319,0300,138.56,139.66,136.01,139.01,222883.51754
ETHUSDT,D,220319,0300,139.04,139.55,131.21,134.85,312531.39368
ETHUSDT,D,230319,0300,134.85,137.2,134.29,135.98,186119.74745
ETHUSDT,D,240319,0300,135.92,138.21,135.6,137.28,174710.43059
ETHUSDT,D,250319,0300,137.28,137.37,134.75,136.09,198490.45124
ETHUSDT,D,260319,0300,136.12,136.83,131.6,133.98,230880.285
ETHUSDT,D,270319,0300,133.97,134.74,132.27,134.18,183139.11426
ETHUSDT,D,280319,0300,134.14,140.14,133.84,139.45,317167.45325
ETHUSDT,D,290319,0300,139.46,139.57,137.3,137.86,163185.6991
ETHUSDT,D,300319,0300,137.85,143.6,137.62,143.25,235853.0454
ETHUSDT,D,310319,0300,143.25,145.89,140.06,142.46,254798.70067
ETHUSDT,D,010419,0300,142.44,142.5,140.42,141.38,142469.21171
ETHUSDT,D,020419,0300,141.41,143.08,139.57,141.24,234310.19161
ETHUSDT,D,030419,0300,141.24,165.6,141,163.31,906868.8586
ETHUSDT,D,040419,0300,163.26,177.81,149.23,159.96,1345344.53845
ETHUSDT,D,050419,0300,159.96,164,152.8,157.36,686080.95248
ETHUSDT,D,060419,0300,157.33,167.83,155.94,164.77,516070.34553
ETHUSDT,D,070419,0300,164.84,172.77,159.2,165.5,528168.33297
ETHUSDT,D,080419,0300,165.56,175.43,164.06,174.21,465507.52497
ETHUSDT,D,090419,0300,174.29,185.87,170.9,178.72,873410.07285
ETHUSDT,D,100419,0300,178.71,179.17,171.05,174.6,431986.36108
ETHUSDT,D,110419,0300,174.58,183.77,168,177.12,523943.20498
