<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,140222,0800,314.1,314.4,303.25,311.33,16235130
GAZP,60,140222,0900,311.3,314.2,308.71,313.95,5693480
GAZP,60,140222,1000,313.94,316.9,311.71,311.9,6409300
GAZP,60,140222,1100,311.9,317.3,311.11,315.5,8144790
GAZP,60,140222,1200,315.34,315.45,309,310,12556310
GAZP,60,140222,1300,309.9,315.29,309.3,311.65,7028910
GAZP,60,140222,1400,311.66,314.08,310.63,312.49,4945210
GAZP,60,140222,1500,312.33,314.24,310.76,314.23,6272090
GAZP,60,140222,1600,314.23,321.77,311.36,320.18,15519870
GAZP,60,140222,1700,320.19,324.9,320.09,322.5,11738910
GAZP,60,140222,1800,322.5,323.69,320.7,322.88,5947740
GAZP,60,140222,1900,322.9,323.75,321.54,321.67,8368460
GAZP,60,140222,2000,322.24,323.76,321.67,322.99,2493980
GAZP,60,140222,2100,322.99,323.48,322.72,322.99,701000
GAZP,60,140222,2200,322.99,323.35,317,318.45,3315790
GAZP,60,140222,2300,318.41,320.77,317,320.64,4430180
GAZP,60,150222,0000,320.72,322.08,319.68,321.85,1401910
GAZP,60,150222,0800,322.5,326.37,322.44,325.69,4138650
GAZP,60,150222,0900,325.58,325.7,323.07,323.97,1683480
GAZP,60,150222,1000,323.96,327,323.91,326.89,2753920
GAZP,60,150222,1100,326.9,326.9,323.3,324.29,3982990
GAZP,60,150222,1200,324.3,334.22,323.89,334.08,21170140
GAZP,60,150222,1300,334.22,335.5,333,334.1,12754230
GAZP,60,150222,1400,334.08,334.47,330.25,332.93,11063490
GAZP,60,150222,1500,332.8,334.34,332,334.27,6501860
GAZP,60,150222,1600,334.13,334.77,332.81,334.48,4251830
GAZP,60,150222,1700,334.49,335,333.22,333.7,4605010
GAZP,60,150222,1800,333.7,334.9,330.55,330.96,9216690
GAZP,60,150222,1900,331,332.16,329.6,332.16,7307730
GAZP,60,150222,2000,332.18,332.62,330.9,331.95,2126430
GAZP,60,150222,2100,331.95,332.48,331.18,331.84,874610
GAZP,60,150222,2200,331.8,331.85,330.4,331.33,1352710
GAZP,60,150222,2300,331.33,332.57,330.8,332.33,955250
GAZP,60,160222,0000,332.33,334.2,332.29,333.6,2136750
GAZP,60,160222,0800,335.86,337.42,334,336.22,5909960
GAZP,60,160222,0900,336.25,339.74,335.69,339.07,5304420
GAZP,60,160222,1000,339.12,339.98,338.07,338.99,4524070
GAZP,60,160222,1100,338.88,339.4,335.37,336.62,9253430
GAZP,60,160222,1200,336.62,338,335.22,337.5,4934290
GAZP,60,160222,1300,337.56,338.39,333.14,333.3,6866170
GAZP,60,160222,1400,333.3,335.55,331.62,335.35,5485650
GAZP,60,160222,1500,335.35,338.41,334.5,337.55,8423720
GAZP,60,160222,1600,337.62,338.15,334.99,336.13,3937860
GAZP,60,160222,1700,336.19,337.8,335.02,335.12,3750200
GAZP,60,160222,1800,335.11,335.46,333,334.37,5952940
GAZP,60,160222,1900,334.37,335.8,333.88,335.3,4497340
GAZP,60,160222,2000,336,337.43,335.3,336.52,3650450
GAZP,60,160222,2100,336.62,336.99,335.31,336.16,1154100
GAZP,60,160222,2200,336.24,336.44,335.46,335.83,842110
GAZP,60,160222,2300,335.97,337.39,335.55,336.29,1525050
GAZP,60,170222,0000,336.3,337.27,336.11,336.5,1116370
GAZP,60,170222,0800,336.36,336.36,332.04,332.15,4437450
GAZP,60,170222,0900,332.18,333.43,329.34,329.9,4672640
GAZP,60,170222,1000,329.81,330.49,327.42,329.46,6173890
GAZP,60,170222,1100,329.38,330.7,328.1,328.44,5691270
GAZP,60,170222,1200,328.52,330.7,324.11,328,13093580
GAZP,60,170222,1300,328.05,329.04,326.07,327.89,5667820
GAZP,60,170222,1400,327.89,329.96,327,329,5403180
GAZP,60,170222,1500,329,329.7,326.83,329.47,3996310
GAZP,60,170222,1600,329.48,332.25,328.33,329.5,6842290
GAZP,60,170222,1700,329.5,331.72,327.66,330.21,8269030
GAZP,60,170222,1800,330.04,330.4,324.13,324.68,12447330
GAZP,60,170222,1900,324.61,325.82,322.04,324.46,14980260
GAZP,60,170222,2000,325.5,327.58,324.65,326.75,4382640
GAZP,60,170222,2100,326.75,327.79,325.86,327.03,1430310
GAZP,60,170222,2200,327,327.4,325.12,325.38,1089160
GAZP,60,170222,2300,325.32,326.09,323.54,323.66,1816550
GAZP,60,180222,0000,323.79,324.55,322.89,323.51,1756000
GAZP,60,180222,0800,325.6,329.17,325.52,327,3830140
GAZP,60,180222,0900,327,328.69,326.69,327.9,1306560
GAZP,60,180222,1000,328,328.2,326.06,327.44,1281000
GAZP,60,180222,1100,327.51,329.32,323.8,325.5,7107000
GAZP,60,180222,1200,325.37,325.98,321.06,321.49,8837640
GAZP,60,180222,1300,321.49,321.7,320.35,321.2,6998720
GAZP,60,180222,1400,321.2,321.23,317.8,318.84,8574900
GAZP,60,180222,1500,318.84,319.1,317.23,318.84,5777090
GAZP,60,180222,1600,318.83,320,318.01,319.13,5522130
GAZP,60,180222,1700,319.2,319.42,309.3,311.2,29631450
GAZP,60,180222,1800,311.29,313,306.7,312.2,19833970
GAZP,60,180222,1900,312.13,312.7,310.81,310.81,6991880
GAZP,60,180222,2000,310.81,311.87,307.2,310.34,7623610
GAZP,60,180222,2100,310.34,312,309.21,309.43,2797730
GAZP,60,180222,2200,309.22,309.84,307.4,308.6,3817460
GAZP,60,180222,2300,308.51,310.5,307.87,310,3063990
GAZP,60,190222,0000,310,310.3,308.5,309.48,2457700
GAZP,60,210222,0800,309.47,316.3,306.28,314.16,11141500
GAZP,60,210222,0900,314.16,318.9,313.61,315.38,5222050
GAZP,60,210222,1000,315.38,318,314.1,316.62,3547360
GAZP,60,210222,1100,316.57,317.49,303.47,307.31,22005750
GAZP,60,210222,1200,307.27,308.29,301,302.6,25088270
GAZP,60,210222,1300,302.6,306.25,298.37,303.36,18920220
GAZP,60,210222,1400,303.37,304.72,296,297.36,15892340
GAZP,60,210222,1500,297.37,298,283,290.2,50689230
GAZP,60,210222,1600,290.08,290.36,281.47,284.58,32194530
GAZP,60,210222,1700,284.63,287,279.1,283,29626140
GAZP,60,210222,1800,282.89,283.57,261,276.13,54883940
GAZP,60,210222,1900,276.33,285,268,278.15,32791620
GAZP,60,210222,2000,279.83,284.99,273.13,283.06,15964600
GAZP,60,210222,2100,283.01,285.49,273.26,273.73,13789760
GAZP,60,210222,2200,273.72,275.9,255.15,262.2,22212510
GAZP,60,210222,2300,262.2,275,241,264.23,44932580
GAZP,60,220222,0000,264.25,268.12,254.03,257.3,14340960
GAZP,60,220222,0800,253.95,270.4,250.92,264.83,19478930
GAZP,60,220222,0900,264.98,273.99,263,269.38,13260500
GAZP,60,220222,1000,269.09,271.6,251,254.14,22010680
GAZP,60,220222,1100,254.46,269.9,246.7,259.76,50881100
GAZP,60,220222,1200,259.54,273.1,255.61,264.34,41437260
GAZP,60,220222,1300,264.4,270.6,263.59,268.93,13684210
GAZP,60,220222,1400,268.93,273.88,268,271,17342500
GAZP,60,220222,1500,271.09,272.9,266,267.38,18863330
GAZP,60,220222,1600,267.43,281.49,266.2,276.28,30869660
GAZP,60,220222,1700,276.28,277.77,271.68,275.51,11937410
GAZP,60,220222,1800,275.51,283.79,274.8,282.41,19625400
GAZP,60,220222,1900,282.41,282.87,277.5,279.2,16587700
GAZP,60,220222,2000,279,279.5,270.1,273.96,17632330
GAZP,60,220222,2100,273.97,273.98,268,269.85,6080790
GAZP,60,220222,2200,269.89,273.78,269.72,271.84,4572460
GAZP,60,220222,2300,271.65,282,270,280.8,13708700
GAZP,60,230222,0000,280.75,284.07,279.04,283.51,6950030
GAZP,60,240222,0800,255.02,255.02,250.9,250.9,4962340
GAZP,60,240222,1000,250.9,250.9,250.9,250.9,310970
GAZP,60,240222,1100,250.9,250.9,179.33,179.33,18200400
GAZP,60,240222,1200,179.1,179.33,126.53,129.47,62671040
GAZP,60,240222,1300,130,210,130,190.01,39168090
GAZP,60,240222,1400,190.01,197,153.55,184.06,56213300
GAZP,60,240222,1500,183.31,187.98,163,165.36,38921840
GAZP,60,240222,1600,165.36,180.09,163,174.78,21481550
GAZP,60,240222,1700,174.78,182.1,164,166.09,28052030
GAZP,60,240222,1800,166.09,176.25,157.74,171.95,30451060
GAZP,60,240222,1900,171.85,189.1,167.8,189.1,23465000
GAZP,60,240222,2000,189,189,175,184.36,15080110
GAZP,60,240222,2100,184.36,188.92,174,187.81,14107590
GAZP,60,240222,2200,187.81,219.99,187.54,216.34,21458570
GAZP,60,240222,2300,216.7,249,201.1,214.47,29582430
GAZP,60,250222,0000,214.47,223.99,210,210,9423810
GAZP,60,250222,1000,208.01,208.01,208.01,208.01,143850
GAZP,60,250222,1100,208.01,237.89,208,229.69,18268770
GAZP,60,250222,1200,229.99,235,191.6,207.04,33776870
GAZP,60,250222,1300,206.6,215.69,201,207.99,16643270
GAZP,60,250222,1400,207.99,208.25,197.05,200.74,13830890
GAZP,60,250222,1500,200.73,215.74,198.49,210.32,22206920
GAZP,60,250222,1600,210.36,233.43,207.2,230.65,34151620
GAZP,60,250222,1700,230.4,244.94,226.2,235.52,25132680
GAZP,60,250222,1800,235.51,241.86,227,227,14193830
GAZP,60,250222,1900,227.01,238,224.14,238,12746940
GAZP,60,250222,2000,237.99,237.99,230.11,231.89,4458080
GAZP,60,250222,2100,232,232.5,230,230.29,2851990
GAZP,60,250222,2200,230.43,230.7,222,224.12,5631800
GAZP,60,250222,2300,224.48,224.96,216,223.32,4277480
GAZP,60,260222,0000,223.36,231.85,222.9,228,3562260
GAZP,60,240322,1100,251.41,278.9,232,269.05,38930270
GAZP,60,240322,1200,269.05,269.75,261,265.05,14614690
GAZP,60,240322,1300,265.05,266,260.16,261.71,11920260
GAZP,60,240322,1400,261.7,263,256,258.51,13111360
GAZP,60,250322,1100,263.99,269.33,247.97,248.74,15630300
GAZP,60,250322,1200,248.77,250,228,236.91,20964010
GAZP,60,250322,1300,236.55,241.77,227.2,228.47,19730700
GAZP,60,250322,1400,228.47,231.78,225.6,227,10866020
GAZP,60,280322,1100,225.25,228.5,213.03,226.16,10197340
GAZP,60,280322,1200,226.16,229.45,223.65,225.99,7390440
GAZP,60,280322,1300,225.99,226,218.06,218.49,4728240
GAZP,60,280322,1400,218.49,220.65,218.21,218.6,2364150
GAZP,60,290322,1100,220,226,216.5,222,12128860
GAZP,60,290322,1200,222.02,223,218.1,219,9010170
GAZP,60,290322,1300,219,221.17,206,208.76,13084060
GAZP,60,290322,1400,208.76,213.4,206.5,208,6086030
GAZP,60,300322,1100,211.02,219.41,210.52,215.61,11216870
GAZP,60,300322,1200,215.55,216.87,212.81,213.49,4223290
GAZP,60,300322,1300,213.49,217.25,213.09,215.01,6603350
GAZP,60,300322,1400,215.01,216.68,214.71,216,16516450
GAZP,60,310322,1100,218.98,229.85,217.1,229.05,16198280
GAZP,60,310322,1200,229.05,236,225.73,234.89,11460670
GAZP,60,310322,1300,234.98,249,234.8,241.54,21480480
GAZP,60,310322,1400,241.5,245,240.1,242.85,6688740
GAZP,60,310322,1500,242.79,242.88,240.5,241.19,3122690
GAZP,60,310322,1600,241.2,241.3,233.02,233.13,9821790
GAZP,60,310322,1700,233.03,239,231.11,239,6410700
GAZP,60,310322,1800,238.99,240.2,235,240.02,4529610
GAZP,60,310322,1900,240.18,243.25,239.9,242.48,4149360
GAZP,60,010422,1100,245.9,258.7,242.48,253.9,21104340
GAZP,60,010422,1200,253.8,254.4,245,247.66,10599480
GAZP,60,010422,1300,247.6,252,247.07,249.33,4578490
GAZP,60,010422,1400,249.32,249.89,247,247.3,1868080
GAZP,60,010422,1500,247.43,251.29,246.01,251.25,2650890
GAZP,60,010422,1600,251.25,251.25,247.5,249.8,2146780
GAZP,60,010422,1700,249.79,253,249.69,252.21,3375180
GAZP,60,010422,1800,252.21,252.97,251.3,252.05,2243810
GAZP,60,010422,1900,252.03,252.05,251,251.4,1856600
GAZP,60,040422,1100,254.04,259.99,237.31,249.6,20876370
GAZP,60,040422,1200,249.63,255,246.27,252.15,8193530
GAZP,60,040422,1300,252.01,253.99,251,253.12,2918960
GAZP,60,040422,1400,253.14,253.41,251.25,251.53,1685980
GAZP,60,040422,1500,251.59,253.94,251,252.69,2266820
GAZP,60,040422,1600,252.82,253,251,252.33,1490870
GAZP,60,040422,1700,252.38,252.45,251.6,251.92,672900
GAZP,60,040422,1800,251.92,252.6,251.83,252.13,1325020
GAZP,60,040422,1900,252.13,252.95,252,252.9,1495880
GAZP,60,050422,1100,254.01,256.39,246.76,247.2,9163520
GAZP,60,050422,1200,247.2,249.44,244.3,245.62,4850320
GAZP,60,050422,1300,245.7,246.67,242.21,244.2,4111950
GAZP,60,050422,1400,244.2,244.2,239,239.09,3668500
GAZP,60,050422,1500,239.09,242.48,231.45,241,8848690
GAZP,60,050422,1600,241,249.1,240.79,246.13,5729310
GAZP,60,050422,1700,246.01,247.88,245.43,246.81,1322800
GAZP,60,050422,1800,246.7,247.3,243,243.74,1294040
GAZP,60,050422,1900,243.91,244.88,243,243.5,861450
GAZP,60,060422,1100,238.73,245.69,234.41,243.91,6160980
GAZP,60,060422,1200,244,246.3,243,246.3,2009880
GAZP,60,060422,1300,246.3,247.8,245.27,247.07,2634790
GAZP,60,060422,1400,247.11,247.2,244,244.73,1657250
GAZP,60,060422,1500,244.74,245,242,243.87,1584140
GAZP,60,060422,1600,243.87,245.84,243.17,245.8,1083680
GAZP,60,060422,1700,245.84,246.49,243.51,244.27,1388560
GAZP,60,060422,1800,244.26,244.92,243,243.01,1086130
GAZP,60,060422,1900,243.04,243.4,239.21,239.7,2925480
GAZP,60,070422,1100,240.04,244,239.13,241.19,4662350
GAZP,60,070422,1200,241.1,242,240.11,241.26,4051370
GAZP,60,070422,1300,241.26,243.15,240.12,241,3248850
GAZP,60,070422,1400,240.94,241.67,240.6,240.87,751010
GAZP,60,070422,1500,240.87,242.89,240.8,241.5,1663270
GAZP,60,070422,1600,241.5,242.2,241,241.25,774360
GAZP,60,070422,1700,241.25,244.31,240.85,244.01,2372490
GAZP,60,070422,1800,244.01,246.8,243.8,244.65,3629220
GAZP,60,070422,1900,244.68,245,243.61,245,1215070
GAZP,60,080422,1100,246.79,246.79,240.37,242.65,4571750
GAZP,60,080422,1200,242.56,243.5,242.15,242.56,1673340
GAZP,60,080422,1300,242.56,244.65,242.01,243.42,1407270
GAZP,60,080422,1400,243.42,244,242.61,242.92,815720
GAZP,60,080422,1500,242.92,243.8,240.01,240.17,1758340
GAZP,60,080422,1600,240.22,241.54,240,241.11,1453120
GAZP,60,080422,1700,241.13,242.3,240.3,242.3,1135520
GAZP,60,080422,1800,242.29,242.5,241.45,242.07,887660
GAZP,60,080422,1900,242.1,242.85,241.07,241.07,1096390
GAZP,60,110422,1100,241.9,242.78,240,242.08,4151890
GAZP,60,110422,1200,242.18,242.36,240.7,240.86,1651330
GAZP,60,110422,1300,240.85,241.46,240.49,240.49,1074080
GAZP,60,110422,1400,240.49,240.98,240.41,240.95,484110
GAZP,60,110422,1500,240.95,240.98,238.9,239.1,1185760
GAZP,60,110422,1600,239.11,240,239,239.35,1078910
GAZP,60,110422,1700,239.31,239.35,234.16,236.16,3996020
GAZP,60,110422,1800,236.16,236.3,234.8,235.71,1096710
GAZP,60,110422,1900,235.71,235.95,234.55,234.55,918940
GAZP,60,120422,1100,234,236,229,229.04,5984760
GAZP,60,120422,1200,229.17,229.61,223,226.72,6404800
GAZP,60,120422,1300,226.72,227.6,225.5,225.77,1939160
GAZP,60,120422,1400,225.76,227.34,225.51,226.71,2250710
GAZP,60,120422,1500,226.83,228.88,226.54,227.7,1524510
GAZP,60,120422,1600,227.76,229.95,226.73,229.86,1612310
GAZP,60,120422,1700,229.86,233.84,229.33,233,2212670
GAZP,60,120422,1800,233,236.5,232.31,235.47,3132320
GAZP,60,120422,1900,235.43,236.63,234.8,236.3,1554550
GAZP,60,130422,1100,237.99,239.64,234.13,236.75,5342070
GAZP,60,130422,1200,236.88,236.93,233.85,234.85,1600190
GAZP,60,130422,1300,234.85,235.35,232.13,234.2,1402080
GAZP,60,130422,1400,234.2,236.26,234,235.23,987070
GAZP,60,130422,1500,235.23,235.5,234.62,234.95,551790
GAZP,60,130422,1600,234.95,235.47,233.1,234.59,1050860
GAZP,60,130422,1700,234.39,234.87,233.07,233.2,701800
GAZP,60,130422,1800,233.19,235,233.07,234.6,553200
GAZP,60,130422,1900,234.6,235.3,234.03,234.87,474450
GAZP,60,140422,1100,234.9,235.5,228.68,230.1,5199990
GAZP,60,140422,1200,230.07,230.85,228.71,229.6,1964850
GAZP,60,140422,1300,229.5,229.71,227.6,229.08,1998200
GAZP,60,140422,1400,229,230,228.21,229.36,918530
GAZP,60,140422,1500,229.37,229.8,228,228.48,1108670
GAZP,60,140422,1600,228.48,228.5,226,226.81,2416620
GAZP,60,140422,1700,226.91,227.28,223.23,224.7,2983440
GAZP,60,140422,1800,224.78,225.76,223,223.79,2664070
GAZP,60,140422,1900,223.78,223.84,221.1,222.11,2652360
GAZP,60,150422,1100,221.99,225.16,215.74,222.87,8814460
GAZP,60,150422,1200,222.99,226.65,222.8,224.45,3638740
GAZP,60,150422,1300,224.45,224.95,222,222.13,1423050
GAZP,60,150422,1400,222.13,222.19,220.4,220.98,1683870
GAZP,60,150422,1500,220.91,223.55,220.75,223.55,1211530
GAZP,60,150422,1600,223.55,223.61,221.75,222.87,866740
GAZP,60,150422,1700,222.87,222.98,222.2,222.37,410520
GAZP,60,150422,1800,222.45,224.14,222.32,224.02,857450
GAZP,60,150422,1900,223.98,224.5,223,224,1026670
GAZP,60,180422,1100,224.29,226,218.51,220.8,6680560
GAZP,60,180422,1200,220.8,222.46,220.33,220.65,1556990
GAZP,60,180422,1300,220.65,221.32,219.6,219.65,1100550
GAZP,60,180422,1400,219.65,220.34,219.5,219.75,823760
GAZP,60,180422,1500,219.67,220.67,218.8,219.05,1152090
GAZP,60,180422,1600,219.05,219.12,218.22,218.56,844690
GAZP,60,180422,1700,218.56,220.2,218.56,219.35,901690
GAZP,60,180422,1800,219.48,219.48,216.6,218.45,1366500
GAZP,60,180422,1900,218.45,218.45,216.99,216.99,1157630
GAZP,60,190422,1100,216.9,216.91,213.54,214.47,5474870
GAZP,60,190422,1200,214.44,216.36,212.81,213.3,2698610
GAZP,60,190422,1300,213.22,213.5,210.3,211.53,3322580
GAZP,60,190422,1400,211.56,211.79,208.51,209.2,3462320
GAZP,60,190422,1500,209.11,209.39,207,207,2777980
GAZP,60,190422,1600,207,213,207,212.11,4055530
GAZP,60,190422,1700,212.1,217,212,214.37,3871240
GAZP,60,190422,1800,214.37,219.93,214.32,218.01,2447610
GAZP,60,190422,1900,218.01,222,218,220.72,2558370
GAZP,60,200422,1100,221.43,223,215.63,219.39,4461600
GAZP,60,200422,1200,219.2,227.48,217.11,226.7,4860770
GAZP,60,200422,1300,226.7,229.84,224,226.4,7019490
GAZP,60,200422,1400,226.31,227.5,224.3,225.8,2645040
GAZP,60,200422,1500,225.84,227.7,224,225.61,2889900
GAZP,60,200422,1600,225.77,226.23,224.7,225.87,1359500
GAZP,60,200422,1700,225.87,226.25,220,220.61,4617460
GAZP,60,200422,1800,220.6,221.45,218,219.47,3840690
GAZP,60,200422,1900,219.47,220.8,217,218.92,1874690
GAZP,60,210422,1100,220.03,221,214,217.19,4894160
GAZP,60,210422,1200,217.18,219.57,215.5,217.33,2688370
GAZP,60,210422,1300,217.3,220.29,216.58,218.32,3320680
GAZP,60,210422,1400,218.22,218.7,217.03,218.1,722550
GAZP,60,210422,1500,218.15,218.22,216.49,217.16,980430
GAZP,60,210422,1600,217.16,218,215.65,216.07,994370
GAZP,60,210422,1700,216,216.48,214.5,214.9,1244400
GAZP,60,210422,1800,214.9,215,210.82,211.75,6781250
GAZP,60,210422,1900,211.74,212.2,210.29,210.29,2666180
GAZP,60,220422,1100,210.5,215,208,213.77,9568730
GAZP,60,220422,1200,213.76,213.92,210.1,210.38,3029190
GAZP,60,220422,1300,210.36,210.8,208.3,209,2788980
GAZP,60,220422,1400,209,210.94,207.3,210.29,2625710
GAZP,60,220422,1500,210.52,211,209,210.13,1549550
GAZP,60,220422,1600,210.13,210.15,207.76,208.96,2542310
GAZP,60,220422,1700,208.94,209.3,207.01,208.17,2770860
GAZP,60,220422,1800,208.17,209.46,207.01,208.09,2221670
GAZP,60,220422,1900,208.13,208.79,207.5,208,1620940
GAZP,60,250422,1100,209.95,209.95,204.22,207.65,5959590
GAZP,60,250422,1200,207.6,208.21,201.12,202.56,4401540
GAZP,60,250422,1300,202.69,206,202.1,205.88,2187270
GAZP,60,250422,1400,205.76,206.59,203.53,204.88,1255120
GAZP,60,250422,1500,204.88,206.17,204.5,206.17,859590
GAZP,60,250422,1600,206.16,206.87,204.39,206.29,1070100
GAZP,60,250422,1700,206.29,206.76,205.09,206.17,623590
GAZP,60,250422,1800,206.14,207.5,205.6,206.09,1497290
GAZP,60,250422,1900,206.09,206.35,205.12,206.35,913730
GAZP,60,260422,1100,207.97,214.98,206.54,214.9,7232640
GAZP,60,260422,1200,214.9,216.95,213.6,214.5,4897690
GAZP,60,260422,1300,214.5,215.5,214.45,214.98,1852380
GAZP,60,260422,1400,214.98,217,214.3,216.92,2844530
GAZP,60,260422,1500,217,219.9,216.59,219.49,4371280
GAZP,60,260422,1600,219.49,223.86,219.45,222.36,5099990
GAZP,60,260422,1700,222.36,227.1,222,226.36,5403710
GAZP,60,260422,1800,226.36,229.74,225,229.7,8673160
GAZP,60,260422,1900,229.7,229.74,223.55,225.85,6109390
GAZP,60,270422,1100,226.04,235,221.61,233.66,19558910
GAZP,60,270422,1200,233.59,233.67,230.1,230.93,4205940
GAZP,60,270422,1300,230.89,233.35,230.18,231.25,2982100
GAZP,60,270422,1400,231.25,232.48,230.8,232.28,1972390
GAZP,60,270422,1500,232.28,233.7,231.51,232.75,2173190
GAZP,60,270422,1600,232.77,235.7,232.68,235.49,5945380
GAZP,60,270422,1700,235.48,235.99,233.59,234.4,4294520
GAZP,60,270422,1800,234.42,235.4,233.79,235.4,3057430
GAZP,60,270422,1900,235.39,237.5,235.02,237.15,4029670
GAZP,60,280422,1100,239.4,245,238.5,243.41,12150600
GAZP,60,280422,1200,243.49,244.44,242.5,242.7,3770780
GAZP,60,280422,1300,242.74,247.69,242.7,247.48,6995190
GAZP,60,280422,1400,247.46,249,244,244.05,6937650
GAZP,60,280422,1500,244.16,246.5,237.22,240.3,11503260
GAZP,60,280422,1600,240.3,240.98,235.5,237.95,8127600
GAZP,60,280422,1700,237.95,242.83,237.5,239.79,4557590
GAZP,60,280422,1800,239.78,242.9,237,240.1,10462060
GAZP,60,280422,1900,240,241.47,237.5,237.53,4384910
GAZP,60,290422,1100,238.58,243.57,238,240.42,9431580
GAZP,60,290422,1200,240.49,245.43,240.31,244.02,9868190
GAZP,60,290422,1300,244.02,245,242,242.52,4765250
GAZP,60,290422,1400,242.46,243.95,242.42,242.8,2537790
GAZP,60,290422,1500,242.75,244.35,242.48,243.5,2892480
GAZP,60,290422,1600,243.5,243.91,243.31,243.35,1695900
GAZP,60,290422,1700,243.36,243.55,238.4,240.25,7358820
GAZP,60,290422,1800,240.21,242.5,239.7,240.42,2392030
GAZP,60,290422,1900,240.46,241.09,240.1,240.4,2450880
GAZP,60,040522,1100,241.01,244.39,238,238.9,7012280
GAZP,60,040522,1200,238.95,240.2,233.5,233.8,5025080
GAZP,60,040522,1300,233.71,236.3,233.17,235.63,2159900
GAZP,60,040522,1400,235.63,235.84,233.9,234.61,1535620
GAZP,60,040522,1500,234.69,235,233.12,233.86,1461250
GAZP,60,040522,1600,233.86,235.5,233.55,235.32,1131320
GAZP,60,040522,1700,235.45,235.47,233.55,234.5,867530
GAZP,60,040522,1800,234.5,234.78,234,234.18,662860
GAZP,60,040522,1900,234.25,234.8,234.16,234.16,1063310
GAZP,60,050522,1100,235.58,239.4,235.08,236.73,6496500
GAZP,60,050522,1200,236.73,237.9,235.7,236.7,1607130
