<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,140222,0800,314.1,314.4,303.25,311.33,16235130
GAZP,60,140222,0900,311.3,314.2,308.71,313.95,5693480
GAZP,60,140222,1000,313.94,316.9,311.71,311.9,6409300
GAZP,60,140222,1100,311.9,317.3,311.11,315.5,8144790
GAZP,60,140222,1200,315.34,315.45,309,310,12556310
GAZP,60,140222,1300,309.9,315.29,309.3,311.65,7028910
GAZP,60,140222,1400,311.66,314.08,310.63,312.49,4945210
GAZP,60,140222,1500,312.33,314.24,310.76,314.23,6272090
GAZP,60,140222,1600,314.23,321.77,311.36,320.18,15519870
GAZP,60,140222,1700,320.19,324.9,320.09,322.5,11738910
GAZP,60,140222,1800,322.5,323.69,320.7,322.88,5947740
GAZP,60,140222,1900,322.9,323.75,321.54,321.67,8368460
GAZP,60,140222,2000,322.24,323.76,321.67,322.99,2493980
GAZP,60,140222,2100,322.99,323.48,322.72,322.99,701000
GAZP,60,140222,2200,322.99,323.35,317,318.45,3315790
GAZP,60,140222,2300,318.41,320.77,317,320.64,4430180
GAZP,60,150222,0000,320.72,322.08,319.68,321.85,1401910
GAZP,60,150222,0800,322.5,326.37,322.44,325.69,4138650
GAZP,60,150222,0900,325.58,325.7,323.07,323.97,1683480
GAZP,60,150222,1000,323.96,327,323.91,326.89,2753920
GAZP,60,150222,1100,326.9,326.9,323.3,324.29,3982990
GAZP,60,150222,1200,324.3,334.22,323.89,334.08,21170140
GAZP,60,150222,1300,334.22,335.5,333,334.1,12754230
GAZP,60,150222,1400,334.08,334.47,330.25,332.93,11063490
GAZP,60,150222,1500,332.8,334.34,332,334.27,6501860
GAZP,60,150222,1600,334.13,334.77,332.81,334.48,4251830
GAZP,60,150222,1700,334.49,335,333.22,333.7,4605010
GAZP,60,150222,1800,333.7,334.9,330.55,330.96,9216690
GAZP,60,150222,1900,331,332.16,329.6,332.16,7307730
GAZP,60,150222,2000,332.18,332.62,330.9,331.95,2126430
GAZP,60,150222,2100,331.95,332.48,331.18,331.84,874610
GAZP,60,150222,2200,331.8,331.85,330.4,331.33,1352710
GAZP,60,150222,2300,331.33,332.57,330.8,332.33,955250
GAZP,60,160222,0000,332.33,334.2,332.29,333.6,2136750
