<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IRKT,D,160319,0000,39.24,39.58,38.22,38.62,116400
IRKT,D,190319,0000,39.02,39.7,38.62,39.08,53200
IRKT,D,200319,0000,39.32,40.26,38.04,39.82,141600
IRKT,D,210319,0000,39.86,42,39.58,39.7,180300
IRKT,D,220319,0000,40.3,41.02,39,39.6,55900
IRKT,D,230319,0000,38.92,39.92,38.92,39.32,22700
IRKT,D,260319,0000,39.7,40,39.32,39.8,61600
IRKT,D,270319,0000,39.88,40.04,39.38,39.56,62300
IRKT,D,280319,0000,39.56,39.86,39.24,39.68,22800
IRKT,D,290319,0000,39.36,39.5,38.5,38.5,52900
IRKT,D,300319,0000,38.48,39.4,38.48,39,55400
IRKT,D,020419,0000,38.88,39.44,38.88,39,29800
IRKT,D,030419,0000,39.04,39.42,38.8,39,49800
IRKT,D,040419,0000,38.62,39.18,38.5,38.5,50300
IRKT,D,050419,0000,38.94,38.96,38.6,38.62,12900
IRKT,D,060419,0000,38.7,39.08,38.5,38.6,74800
IRKT,D,090419,0000,38.52,38.88,38.06,38.54,29000
IRKT,D,100419,0000,38.2,38.78,38.2,38.5,10000
IRKT,D,110419,0000,38.34,39.1,37.48,38.26,86700
IRKT,D,120419,0000,38.32,38.32,37.3,37.54,34100
IRKT,D,130419,0000,37.66,38.98,37.66,38.6,69600
IRKT,D,160419,0000,38.94,38.96,37.52,38.7,33500
IRKT,D,170419,0000,38.04,39.5,38,39.46,191900
IRKT,D,180419,0000,39.7,40.84,38.78,40.84,82200
IRKT,D,190419,0000,40.84,43,40,42.1,606300
IRKT,D,200419,0000,42.8,44.4,41.66,43,408200
IRKT,D,230419,0000,42.54,43.86,41.64,41.98,124900
IRKT,D,240419,0000,41.9,41.94,40,40.2,186000
IRKT,D,250419,0000,40.5,40.66,40,40.2,62800
IRKT,D,260419,0000,40.02,40.36,39.5,39.92,58200
IRKT,D,270419,0000,39.6,40.26,38.78,39.12,93500
IRKT,D,300419,0000,39.76,39.76,38.22,38.7,38000
IRKT,D,010519,0000,39,39.26,38.66,38.82,21700
IRKT,D,030519,0000,39.54,39.7,38.99,39.4,20000
IRKT,D,040519,0000,39.45,39.7,39.01,39.33,23200
IRKT,D,070519,0000,38.51,39.17,38.02,39,51400
IRKT,D,080519,0000,39.1,39.17,38.21,38.61,58600
IRKT,D,090519,0000,38.9,39,38.24,38.53,38200
IRKT,D,110519,0000,38.53,40,38.53,38.98,140800
IRKT,D,140519,0000,38.6,39.27,38.41,38.41,9200
IRKT,D,150519,0000,38.78,39.08,38.2,38.2,33400
IRKT,D,160519,0000,38.22,38.57,37.77,38.37,66200
IRKT,D,170519,0000,38.5,38.67,37.8,38.49,32700
IRKT,D,180519,0000,38.09,38.42,37.68,37.93,56800
IRKT,D,210519,0000,37.79,38.47,37.79,38.09,15100
IRKT,D,220519,0000,38,38.18,37.7,37.81,38400
IRKT,D,230519,0000,37.71,38.28,37.71,37.93,21100
IRKT,D,240519,0000,38.19,38.68,37.72,38.09,72000
IRKT,D,250519,0000,37.93,38.17,36.54,37,140700
IRKT,D,280519,0000,36.63,38.8,36.63,37.24,159300
IRKT,D,290519,0000,40.19,40.95,39.17,39.5,764300
IRKT,D,300519,0000,39.53,39.55,38.75,39.05,114000
IRKT,D,310519,0000,39.04,39.35,37.45,38.15,261100
IRKT,D,010619,0000,37.91,38.2,36.45,37.48,169200
IRKT,D,040619,0000,37.95,37.96,36.5,37.29,152600
IRKT,D,050619,0000,37,37.22,36.5,36.99,131200
IRKT,D,060619,0000,36.79,37.19,36.52,36.96,45500
IRKT,D,070619,0000,36.92,37.22,36.6,36.94,41100
IRKT,D,080619,0000,37.05,37.06,36.51,37.06,34800
IRKT,D,110619,0000,37.29,37.6,36.65,36.91,36500
IRKT,D,120619,0000,36.81,37.2,36.7,37,36800
IRKT,D,140619,0000,36.76,37.29,36.71,37.28,46700
IRKT,D,150619,0000,37.28,37.8,36.5,37.21,75500
IRKT,D,180619,0000,36.88,37.4,36.88,37.04,18700
IRKT,D,190619,0000,36.9,37.37,36.86,37.21,40300
IRKT,D,200619,0000,37.38,37.57,37.13,37.49,47800
IRKT,D,210619,0000,37.27,37.52,37.21,37.46,25700
IRKT,D,220619,0000,37.27,37.64,37.27,37.43,60500
IRKT,D,250619,0000,37.64,37.65,37.41,37.56,28300
IRKT,D,260619,0000,37.21,38.65,37.06,37.86,105400
IRKT,D,270619,0000,37.94,38.5,37.74,38.07,152000
