<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH,D,160319,0000,5606.5,5662.5,5575.5,5662.5,988177
LKOH,D,190319,0000,5625.5,5674.5,5600,5610,480394
LKOH,D,200319,0000,5620,5682.5,5595,5682.5,552139
LKOH,D,210319,0000,5683,5770,5664,5770,680849
LKOH,D,220319,0000,5773,5793.5,5730,5759,1112729
LKOH,D,230319,0000,5759,5799,5732,5793.5,700806
LKOH,D,260319,0000,5760,5775,5729,5740,688338
LKOH,D,270319,0000,5745,5819.5,5728.5,5809,485916
LKOH,D,280319,0000,5803.5,5859.5,5802.5,5850,541983
LKOH,D,290319,0000,5840,5890,5809,5880,646242
LKOH,D,300319,0000,5882,5895,5841,5894,708408
LKOH,D,020419,0000,5893,5942.5,5878.5,5909,433719
LKOH,D,030419,0000,5915.5,5958,5902,5958,578390
LKOH,D,040419,0000,5961.5,5996,5926,5926,595513
LKOH,D,050419,0000,5929.5,5942.5,5863,5865,623514
LKOH,D,060419,0000,5875,5905,5822,5822,473342
LKOH,D,090419,0000,5844,5866.5,5800.5,5826,619725
LKOH,D,100419,0000,5850,5850,5695,5736,1067202
LKOH,D,110419,0000,5736,5738.5,5685.5,5692,763093
LKOH,D,120419,0000,5686,5695,5627.5,5630,709762
LKOH,D,130419,0000,5636,5647.5,5573.5,5600,610035
LKOH,D,160419,0000,5604.5,5637.5,5586,5590,434850
LKOH,D,170419,0000,5603,5662,5563,5609.5,733285
LKOH,D,180419,0000,5630,5650,5548,5584,654225
LKOH,D,190419,0000,5584,5610,5570,5610,467663
LKOH,D,200419,0000,5619,5632.5,5600,5602,83266
LKOH,D,230419,0000,5625,5696.5,5621.5,5690,276489
LKOH,D,240419,0000,5700,5833.5,5700,5780,813821
LKOH,D,250419,0000,5777,5800,5713.5,5760,636519
LKOH,D,260419,0000,5762.5,5787,5648.5,5648.5,813191
LKOH,D,270419,0000,5645,5646,5585,5588,671679
LKOH,D,300419,0000,5612,5650,5545.5,5552,460460
LKOH,D,010519,0000,5560.5,5581,5475,5511,924493
LKOH,D,030519,0000,5511,5574,5506.5,5551,550104
LKOH,D,040519,0000,5571,5599.5,5444,5453,729111
LKOH,D,070519,0000,5421,5478,5369,5478,437714
LKOH,D,080519,0000,5475,5479.5,5362,5405.5,1171596
LKOH,D,090519,0000,5397.5,5406.5,5331,5331,802202
LKOH,D,110519,0000,5316,5349.5,5258,5290,685318
LKOH,D,140519,0000,5296,5378,5287.5,5350,821577
LKOH,D,150519,0000,5340,5340,5165,5188.5,2211566
LKOH,D,160519,0000,5206,5206,5000,5000,1739162
LKOH,D,170519,0000,5010,5297.5,4980,5200,2898058
LKOH,D,180519,0000,5178,5292.5,5170.5,5260,1401055
LKOH,D,210519,0000,5254.5,5289,5172.5,5172.5,982966
LKOH,D,220519,0000,5186,5329.5,5173,5300,1132774
LKOH,D,230519,0000,5299.5,5364.5,5281,5317.5,746807
LKOH,D,240519,0000,5299.5,5308,5260,5275,862257
LKOH,D,250519,0000,5285,5313,5227.5,5240,847716
LKOH,D,280519,0000,5254.5,5277,5198,5220,511907
LKOH,D,290519,0000,5247,5272,5055,5100,6565396
LKOH,D,300519,0000,5090.5,5249,5064.5,5240,1633314
LKOH,D,310519,0000,5260,5324,5205,5230,1027295
LKOH,D,010619,0000,5199.5,5268.5,5185,5268.5,869914
LKOH,D,040619,0000,5256,5287,5226,5254.5,889984
LKOH,D,050619,0000,5250.5,5276.5,5142.5,5170,1120326
LKOH,D,060619,0000,5180,5184.5,5090,5103,912191
LKOH,D,070619,0000,5108.5,5157,5095,5156.5,800121
LKOH,D,080619,0000,5170,5184,5115,5133,1285645
LKOH,D,110619,0000,5140,5186,5140,5181,601975
