<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NLMK,60,140222,0800,220.8,220.8,216.54,219.76,1104770
NLMK,60,140222,0900,219.6,223.8,219.28,222.9,526170
NLMK,60,140222,1000,222.96,223.5,220.3,221.46,512050
NLMK,60,140222,1100,221.1,226,220.92,224.56,1413990
NLMK,60,140222,1200,224.6,225.42,223.78,223.98,1192890
NLMK,60,140222,1300,223.98,226.94,223.78,226.6,1299570
NLMK,60,140222,1400,226.44,227.08,225.2,225.46,839270
NLMK,60,140222,1500,225.54,226.78,224.72,226.5,1068550
NLMK,60,140222,1600,226.5,230,226.02,228.94,1629920
NLMK,60,140222,1700,229.02,230.5,227.12,228.04,1598280
NLMK,60,140222,1800,228.12,229.34,227.12,227.46,1660100
NLMK,60,140222,1900,227.54,228.38,226.56,226.56,1524730
NLMK,60,140222,2000,226.56,227.96,226.2,227.58,302790
NLMK,60,140222,2100,227.48,227.88,227.12,227.44,150230
NLMK,60,140222,2200,227.58,228.06,224.32,225.1,343440
NLMK,60,140222,2300,225.1,227.96,224.32,227.8,435760
NLMK,60,150222,0000,227.82,228.82,227.3,228.02,193190
NLMK,60,150222,0800,228,230.88,228,229.9,394750
NLMK,60,150222,0900,229.9,230,228.34,229.74,191470
NLMK,60,150222,1000,229.62,230.92,229.44,230.64,222750
NLMK,60,150222,1100,230.88,230.9,229.28,230.12,452030
NLMK,60,150222,1200,230.12,233.68,229.66,233.64,1968050
NLMK,60,150222,1300,233.66,235.9,233.58,234.16,2747960
NLMK,60,150222,1400,234.22,234.44,232.22,233.18,1812740
NLMK,60,150222,1500,233.1,233.86,232.58,232.9,715880
NLMK,60,150222,1600,232.84,233.46,232.06,232.84,1012060
NLMK,60,150222,1700,232.8,236.2,232.5,235.86,2729700
NLMK,60,150222,1800,235.86,236,233.5,233.96,1497050
NLMK,60,150222,1900,233.96,234.4,233.1,234.4,1204230
NLMK,60,150222,2000,234.14,234.88,232.82,233.16,393850
NLMK,60,150222,2100,233.16,233.6,232.58,232.78,134500
NLMK,60,150222,2200,232.78,233.26,232.58,233.18,86300
NLMK,60,150222,2300,233.18,233.44,232.9,233.4,69790
NLMK,60,160222,0000,233.38,234.2,233.04,233.04,177790
NLMK,60,160222,0800,233.98,236.5,233.04,235.6,509320
NLMK,60,160222,0900,235.32,236.1,235.08,235.76,269730
NLMK,60,160222,1000,235.62,235.88,235.1,235.2,309530
NLMK,60,160222,1100,235.28,235.7,233.2,234.14,815930
NLMK,60,160222,1200,234.14,234.78,232.3,232.88,1112410
NLMK,60,160222,1300,232.88,232.98,230.44,231.38,1106580
NLMK,60,160222,1400,231.32,232.22,230.68,232,571590
NLMK,60,160222,1500,232.04,233.2,231.94,232.64,477170
NLMK,60,160222,1600,232.66,232.7,230.62,231.34,324900
NLMK,60,160222,1700,231.4,233.8,231.3,233.4,697340
NLMK,60,160222,1800,233.48,234.88,232.56,234.6,715100
NLMK,60,160222,1900,234.46,235.2,234.26,235.2,857210
NLMK,60,160222,2000,235.08,235.2,234.24,234.84,178200
NLMK,60,160222,2100,234.74,235.72,234.64,235.24,500670
NLMK,60,160222,2200,235.24,235.42,234.78,235.16,127560
NLMK,60,160222,2300,235.12,235.6,234.94,235.18,170640
NLMK,60,170222,0000,235.24,235.7,235.04,235.7,166150
NLMK,60,170222,0800,235.38,235.68,232.56,233.04,362050
NLMK,60,170222,0900,232.88,233.3,231.5,231.54,287510
NLMK,60,170222,1000,231.58,232.48,230.18,232.08,420370
NLMK,60,170222,1100,232.18,234.1,231.82,233.3,585950
NLMK,60,170222,1200,233.36,235,230.12,233.12,1520790
NLMK,60,170222,1300,233.1,233.48,231.68,233.18,791270
NLMK,60,170222,1400,233.18,235.6,233.18,234.74,1001750
NLMK,60,170222,1500,234.74,234.8,233.2,234.6,792540
NLMK,60,170222,1600,234.66,235.5,230.8,230.88,1803230
NLMK,60,170222,1700,230.86,230.9,228.1,229.48,2709920
NLMK,60,170222,1800,229.42,230.36,227.1,227.54,1920140
NLMK,60,170222,1900,227.44,228,225.84,226.82,2724840
NLMK,60,170222,2000,226.82,229.3,226.82,227.98,424850
NLMK,60,170222,2100,228.02,228.6,227.74,228.54,98090
NLMK,60,170222,2200,228.5,228.56,228.04,228.2,65030
NLMK,60,170222,2300,228.22,228.32,227.7,227.72,89940
NLMK,60,180222,0000,227.7,227.7,226.7,227.52,211840
NLMK,60,180222,0800,228.92,231.52,228.2,230.28,408240
NLMK,60,180222,0900,230.2,230.96,229.84,230.32,122710
NLMK,60,180222,1000,230.38,231.2,229.2,231.1,159880
NLMK,60,180222,1100,230.94,231.26,228.04,228.92,908300
NLMK,60,180222,1200,228.92,228.92,225.92,226.14,1068870
NLMK,60,180222,1300,226.12,228.68,225.64,228.1,2156860
NLMK,60,180222,1400,228.02,229.3,227.44,228.88,837930
NLMK,60,180222,1500,228.86,229.04,227.5,228.56,522210
NLMK,60,180222,1600,228.54,230.12,228.54,230,718740
NLMK,60,180222,1700,230,230.04,224.1,224.88,2204920
NLMK,60,180222,1800,224.8,227.4,223.56,226.4,2991720
NLMK,60,180222,1900,226.28,229.38,226.12,228.28,1355070
NLMK,60,180222,2000,227.94,227.94,223.7,226.02,1024910
NLMK,60,180222,2100,226.04,226.62,225.08,225.76,223960
NLMK,60,180222,2200,225.72,226.1,225.1,225.84,195050
NLMK,60,180222,2300,225.84,227.26,225.7,226.7,217520
NLMK,60,190222,0000,226.76,227,225.86,226.9,171730
NLMK,60,210222,0800,226.5,229.44,221.54,229.28,796630
NLMK,60,210222,0900,229.26,230.5,228.52,228.52,381190
NLMK,60,210222,1000,228.7,229.8,228,229.62,272770
NLMK,60,210222,1100,229.48,230.4,224.16,226.46,1070770
NLMK,60,210222,1200,226.38,229.1,224.46,225.5,1762830
NLMK,60,210222,1300,225.36,227.44,224.2,226.26,1785670
NLMK,60,210222,1400,226.14,226.98,221.46,222.42,1051560
NLMK,60,210222,1500,222.42,222.6,214.6,221.76,4036700
NLMK,60,210222,1600,221.56,223.68,218.36,221.16,2124600
