<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NLMK,5,130223,1005,125.08,125.48,125.02,125.2,78360
NLMK,5,130223,1010,125.18,125.4,125.16,125.4,52030
NLMK,5,130223,1015,125.3,125.6,125.28,125.6,64950
NLMK,5,130223,1020,125.52,125.6,125.4,125.48,70710
NLMK,5,130223,1025,125.48,125.52,125.4,125.5,42400
NLMK,5,130223,1030,125.5,125.56,125.42,125.52,13070
NLMK,5,130223,1035,125.5,125.56,125.42,125.48,14880
NLMK,5,130223,1040,125.5,126.22,125.44,126.18,156320
NLMK,5,130223,1045,126.16,126.18,125.7,125.92,59910
NLMK,5,130223,1050,125.92,126.16,125.92,125.98,39700
NLMK,5,130223,1055,126.02,126.2,125.8,125.88,37700
NLMK,5,130223,1100,125.86,125.88,125.64,125.8,41830
NLMK,5,130223,1105,125.74,125.96,125.72,125.76,29460
NLMK,5,130223,1110,125.78,125.9,125.72,125.8,29540
NLMK,5,130223,1115,125.74,126.32,125.74,126.32,61390
NLMK,5,130223,1120,126.3,126.38,125.9,126.1,57340
NLMK,5,130223,1125,126.1,126.26,125.94,126.26,39530
NLMK,5,130223,1130,126.26,126.4,126.16,126.34,54950
NLMK,5,130223,1135,126.36,126.44,126.24,126.34,65880
NLMK,5,130223,1140,126.34,126.38,126.3,126.36,32040
NLMK,5,130223,1145,126.32,126.4,126.12,126.14,52750
NLMK,5,130223,1150,126.12,126.26,125.9,126.06,62910
NLMK,5,130223,1155,126.06,126.3,125.98,126.3,39970
NLMK,5,130223,1200,126.24,126.3,125.74,126.08,75940
NLMK,5,130223,1205,126.08,126.3,126.06,126.24,31990
NLMK,5,130223,1210,126.2,126.24,126.16,126.22,11090
NLMK,5,130223,1215,126.22,126.22,126.14,126.22,10450
NLMK,5,130223,1220,126.22,126.22,126.1,126.2,10290
NLMK,5,130223,1225,126.2,126.2,125.82,125.88,24920
NLMK,5,130223,1230,125.86,126,125.86,125.98,13660
NLMK,5,130223,1235,125.98,126.04,125.92,126.04,10210
NLMK,5,130223,1240,126.04,126.06,125.92,126,14950
NLMK,5,130223,1245,126,126,125.86,126,21970
NLMK,5,130223,1250,126,126.28,125.98,126.12,47960
NLMK,5,130223,1255,126.12,126.2,126.06,126.14,13880
NLMK,5,130223,1300,126.14,126.14,126.02,126.14,15570
NLMK,5,130223,1305,126.14,126.26,126.1,126.26,9430
NLMK,5,130223,1310,126.26,126.3,126.08,126.3,18410
NLMK,5,130223,1315,126.3,126.3,126.16,126.28,9510
NLMK,5,130223,1320,126.28,126.28,126.2,126.26,14880
NLMK,5,130223,1325,126.26,126.3,126.2,126.3,8910
NLMK,5,130223,1330,126.3,126.34,126.22,126.28,23260
NLMK,5,130223,1335,126.22,126.28,126.14,126.2,11750
NLMK,5,130223,1340,126.18,126.2,126.14,126.2,7090
NLMK,5,130223,1345,126.2,126.2,126.16,126.2,4930
NLMK,5,130223,1350,126.2,126.34,126.16,126.34,10080
NLMK,5,130223,1355,126.3,126.36,126.22,126.36,14120
NLMK,5,130223,1400,126.36,126.36,126.16,126.36,29390
NLMK,5,130223,1405,126.36,126.36,126.18,126.24,8370
NLMK,5,130223,1410,126.24,126.34,126.18,126.3,16300
NLMK,5,130223,1415,126.3,126.36,126.22,126.36,10450
NLMK,5,130223,1420,126.36,126.42,126.24,126.4,37880
NLMK,5,130223,1425,126.4,126.48,126.34,126.34,36040
NLMK,5,130223,1430,126.34,126.5,126.34,126.48,69130
