<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PIKK,D,160319,0000,353.3,353.4,351.1,352.2,65710
PIKK,D,190319,0000,351.7,353.8,351.3,353.8,61950
PIKK,D,200319,0000,354.9,354.9,352.3,353.2,91070
PIKK,D,210319,0000,354.4,354.4,351.7,353,67630
PIKK,D,220319,0000,354,354.8,352.1,354.5,67240
PIKK,D,230319,0000,355.4,355.9,352.9,354.8,73440
PIKK,D,260319,0000,355.3,355.3,351.5,352,62020
PIKK,D,270319,0000,351.2,353.5,351,353.3,109160
PIKK,D,280319,0000,354.6,354.8,351.8,353.5,90250
PIKK,D,290319,0000,354.7,354.8,352,354.8,84440
PIKK,D,300319,0000,354.1,354.9,351.6,353.8,80220
PIKK,D,020419,0000,352.9,360.2,349.8,359.1,97260
PIKK,D,030419,0000,359.3,368,358.3,368,75550
PIKK,D,040419,0000,366.7,380,365.9,378.4,119840
PIKK,D,050419,0000,376.8,429.7,363.7,366.6,73590
PIKK,D,060419,0000,366.1,366.1,359.2,360.1,115680
PIKK,D,090419,0000,361.7,362.8,357.5,359.9,90360
PIKK,D,100419,0000,358.5,362.5,358.4,358.6,52590
PIKK,D,110419,0000,359.8,360.1,354.8,357,111780
PIKK,D,120419,0000,355.8,356.1,354,356.1,108130
PIKK,D,130419,0000,357.2,358,355.2,355.2,100390
PIKK,D,160419,0000,356.5,356.7,354,355.8,107930
PIKK,D,170419,0000,356.5,357.9,354.4,356.7,160270
PIKK,D,180419,0000,356.9,358,355.4,358,64210
PIKK,D,190419,0000,356.9,361.6,356.5,360.8,54720
PIKK,D,200419,0000,362.6,365.2,360.7,364.2,58860
PIKK,D,230419,0000,363.3,368.4,363.2,368.2,37770
PIKK,D,240419,0000,368.4,371,366.6,371,58680
PIKK,D,250419,0000,369.4,371.2,364.9,365.5,63810
PIKK,D,260419,0000,364.7,367.2,363.5,367,63460
PIKK,D,270419,0000,366.4,368.5,365.5,365.9,52820
PIKK,D,300419,0000,366.7,367.1,364.1,367.1,67520
PIKK,D,010519,0000,366.2,367.9,365.1,365.5,71590
PIKK,D,030519,0000,364.7,370.1,364,370,36930
PIKK,D,040519,0000,371.4,374.2,369.8,374.2,14720
PIKK,D,070519,0000,375.8,375.8,371.4,373.8,28860
PIKK,D,080519,0000,375,375,372.2,373,47320
PIKK,D,090519,0000,371.5,377.7,370.9,377,89060
PIKK,D,110519,0000,378.7,380.7,377.4,378.4,15360
PIKK,D,140519,0000,379.8,381.7,376.2,380.4,93190
PIKK,D,150519,0000,382,384.1,380.3,384.1,94720
PIKK,D,160519,0000,382.7,385.8,381.5,384.6,86860
PIKK,D,170519,0000,384.1,386.4,383.2,386.2,77880
PIKK,D,180519,0000,386.8,386.8,382.2,384.4,88080
PIKK,D,210519,0000,386.9,386.9,380.4,382.7,68470
PIKK,D,220519,0000,384.4,384.4,378.7,380.4,86310
PIKK,D,230519,0000,379,384,378.8,384,84880
PIKK,D,240519,0000,386.1,386.1,381,381.5,59190
PIKK,D,250519,0000,382.9,386.2,382.1,386.2,97170
PIKK,D,280519,0000,385.9,388,385.9,387.4,59320
PIKK,D,290519,0000,387.2,389,386.1,387.6,83430
PIKK,D,300519,0000,387.2,389.6,385.7,389.6,70890
PIKK,D,310519,0000,388.8,390.3,388.8,389.9,172290
PIKK,D,010619,0000,372.4,373.2,366,368.4,125670
PIKK,D,040619,0000,368,368.3,363.5,366.2,110390
PIKK,D,050619,0000,367.4,370.8,366.8,370.8,110770
PIKK,D,060619,0000,371.7,372.5,367.1,367.1,43480
PIKK,D,070619,0000,368,371,367.5,371,85810
PIKK,D,080619,0000,371.6,372.3,367,370.6,87650
PIKK,D,110619,0000,371.7,372.3,368.3,368.9,67250
PIKK,D,120619,0000,370.8,370.8,367.1,368.9,81850
PIKK,D,140619,0000,369.4,370.6,367.3,369.9,81380
PIKK,D,150619,0000,368.5,371.1,366,369.6,97550
PIKK,D,180619,0000,368.5,370.4,367.1,370,75720
PIKK,D,190619,0000,373,373,367.9,369.8,71040
PIKK,D,200619,0000,369.3,371.5,368.1,370.3,76700
PIKK,D,210619,0000,371.9,371.9,368.8,370.6,80440
