<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,160319,0000,204.2,204.95,203.55,203.55,35811130
SBER,D,190319,0000,204.25,206.14,204.11,205.9,40789510
SBER,D,200319,0000,206.4,208.31,205.93,207.7,47705420
SBER,D,210319,0000,207.55,209.84,206.4,209.8,55498860
SBER,D,220319,0000,210.27,212.29,209.77,210.61,66856470
SBER,D,230319,0000,210.65,211.29,206.7,207.7,49381080
SBER,D,260319,0000,206.66,214.2,205.55,214,107953490
SBER,D,270319,0000,214.71,218.46,213.13,218,81274550
SBER,D,280319,0000,218.21,219.25,214.1,214.1,71870510
SBER,D,290319,0000,214.14,215.95,213.72,215.07,47481780
SBER,D,300319,0000,216,218.19,214.4,214.42,85726830
SBER,D,020419,0000,215.05,218.11,215.01,217.7,51669790
SBER,D,030419,0000,218.75,219.32,216.8,218.23,49132320
SBER,D,040419,0000,220.12,224.16,218.88,219.05,91987840
SBER,D,050419,0000,218.5,221.85,218.01,221.8,51920220
SBER,D,060419,0000,222.35,227.7,222.03,227.5,77930270
SBER,D,090419,0000,227.9,232.3,227.9,232.3,70830180
SBER,D,100419,0000,233.54,238.9,232.39,238,117168650
SBER,D,110419,0000,239,245.25,237.94,243.68,129029970
SBER,D,120419,0000,244.4,247.23,238.86,238.86,105320630
SBER,D,130419,0000,239.97,243.15,237,239.5,96065730
SBER,D,160419,0000,240.39,242.3,237.06,237.8,47848560
SBER,D,170419,0000,239,239.5,232.32,233.24,86383980
SBER,D,180419,0000,234.52,235.75,232,234.3,70133760
SBER,D,190419,0000,233.8,234.11,230.84,232.79,55682060
SBER,D,200419,0000,233.48,233.5,231.9,232.6,12238240
SBER,D,230419,0000,233.7,236.09,233.05,235.41,44233210
SBER,D,240419,0000,235.99,237.56,234.16,235.67,56823030
SBER,D,250419,0000,235,236.47,233.94,236,43602000
SBER,D,260419,0000,235.68,236,227.8,227.8,100789420
SBER,D,270419,0000,227.47,227.47,222.08,223.18,94039040
SBER,D,300419,0000,223.7,229.09,223.05,228.8,48768500
SBER,D,010519,0000,229.02,229.02,223.81,225.17,63392980
SBER,D,030519,0000,226,229.84,225.85,229.1,36429060
SBER,D,040519,0000,229.69,233,228.55,232.52,47604250
SBER,D,070519,0000,228.72,232.8,227,232.8,48147810
SBER,D,080519,0000,232.7,234.34,230.26,231.49,46470700
SBER,D,090519,0000,231.03,232.5,229.5,230,42255720
SBER,D,110519,0000,227,229.49,226.11,227,43963230
SBER,D,140519,0000,226.6,228.67,224.15,224.22,47065110
SBER,D,150519,0000,224.6,230.55,224.6,227.88,76555100
SBER,D,160519,0000,228.92,230.96,224.43,228.69,61009200
SBER,D,170519,0000,228.98,231.45,227.59,228.19,40094740
SBER,D,180519,0000,226.98,228.24,226,226.94,28412300
SBER,D,210519,0000,228.1,229.18,225.1,226,30088250
SBER,D,220519,0000,227.02,232.71,226.04,232.71,59067410
SBER,D,230519,0000,233.13,237.4,230.8,235.86,59371310
SBER,D,240519,0000,234.48,235.37,228.57,229.3,51293570
SBER,D,250519,0000,231.21,236.45,231.2,234.45,65680760
SBER,D,280519,0000,235.27,237,233.83,236,27752790
SBER,D,290519,0000,236.4,237.47,230.6,233.19,74031020
SBER,D,300519,0000,232.19,234.3,230.25,233.4,51364080
SBER,D,310519,0000,234.56,235.21,231.91,232.75,36306660
SBER,D,010619,0000,230.56,234.1,229.21,233.24,53296760
SBER,D,040619,0000,231.18,241.5,230.35,239.95,84406830
SBER,D,050619,0000,239.85,240.25,234.8,236,69935260
SBER,D,060619,0000,236.12,240.3,235.11,239,52756470
SBER,D,070619,0000,238.87,246.34,238.53,244.89,61323390
SBER,D,080619,0000,246.38,249,246.06,248.28,68267530
SBER,D,110619,0000,249.58,250.65,245.2,249,62543690
SBER,D,120619,0000,235.5,239,235.11,235.89,67252510
SBER,D,140619,0000,236.5,241.07,232.55,240.49,75143890
SBER,D,150619,0000,240.6,243.8,237.1,238.8,50167230
SBER,D,180619,0000,238.91,240.87,237.5,237.8,33592970
SBER,D,190619,0000,237.25,241.99,236.36,241.8,48909090
SBER,D,200619,0000,242.5,242.95,238.7,240.4,33760330
SBER,D,210619,0000,241.98,244.99,241.4,244.1,64284450
SBER,D,220619,0000,243.01,243.9,237.56,238.02,60981900
SBER,D,250619,0000,239.01,240.75,238.42,239.09,27673280
SBER,D,260619,0000,238.95,239.2,234.2,236.7,38507450
SBER,D,270619,0000,236.8,241.37,235.81,240.59,39691210
SBER,D,280619,0000,240.42,242.44,238.3,240.5,48108550
SBER,D,290619,0000,240.12,241.23,237.87,238.55,33373530
SBER,D,020719,0000,240.98,243.9,240.21,242.98,50562960
SBER,D,030719,0000,242.52,242.74,239.7,241.2,28531390
SBER,D,040719,0000,241,243.7,240.17,241.51,32693350
SBER,D,050719,0000,241.97,243,240.81,242.82,25303020
SBER,D,060719,0000,242.95,243.5,241.61,242.83,27841230
SBER,D,090719,0000,242.22,243.3,240.68,243.3,28458070
SBER,D,100719,0000,242.95,243.7,241.87,242.74,26334670
SBER,D,110719,0000,243.11,245.5,242.01,243.76,41586230
SBER,D,120719,0000,244.52,244.97,240.17,241.3,33101970
SBER,D,130719,0000,241.29,241.5,236.37,237.02,47658170
SBER,D,160719,0000,237.9,238.59,234.23,235.27,44987070
SBER,D,170719,0000,234.65,235.3,232.25,234.75,36144200
SBER,D,180719,0000,234.32,238.04,233.5,234.63,33512230
SBER,D,190719,0000,233.81,236.4,233.5,234.78,22818540
SBER,D,200719,0000,236.35,237.93,232.32,232.85,34586080
SBER,D,230719,0000,232.93,233.98,228.57,230.35,37930900
SBER,D,240719,0000,230.5,232.83,228.52,232.48,36306690
SBER,D,250719,0000,233.72,234,229.9,230.65,27236550
SBER,D,260719,0000,229.99,234.65,229.02,232.9,33004560
SBER,D,270719,0000,232.5,233.99,230.25,230.55,25904020
SBER,D,300719,0000,230.7,233.74,230.18,232.8,18366190
SBER,D,310719,0000,233.14,236,231.13,236,34773990
SBER,D,010819,0000,237.51,237.55,233.11,233.49,50356650
SBER,D,020819,0000,232.15,232.46,228.5,229.5,56032690
SBER,D,030819,0000,224.91,226.88,220.3,220.81,94010550
SBER,D,060819,0000,219.78,224,219.45,222.24,49041610
SBER,D,070819,0000,222.77,226.88,222.3,226.01,48720730
SBER,D,080819,0000,225.89,227.6,221.9,222.25,49530250
SBER,D,090819,0000,224.6,225.9,223.18,223.93,31144010
SBER,D,100819,0000,224.06,224.36,220.67,220.67,31478890
SBER,D,130819,0000,222.38,222.99,219.74,222.3,28695760
SBER,D,140819,0000,221.31,225.75,220.07,223.18,46706040
SBER,D,150819,0000,224.1,224.25,216.6,217.11,52004130
SBER,D,160819,0000,218.5,218.94,212.88,214.59,68165210
SBER,D,170819,0000,215.8,216.75,213.91,215.05,38353770
SBER,D,200819,0000,217.04,218.2,214.06,217.4,37521900
SBER,D,210819,0000,217.63,219.23,215.53,216,36984710
SBER,D,220819,0000,216.96,219.5,215.8,218.62,42898300
SBER,D,230819,0000,218.25,220.4,217.35,219.5,45670450
SBER,D,240819,0000,220.21,223.1,217.86,219.5,54739920
SBER,D,270819,0000,217.54,219.64,216.53,218.5,34995860
SBER,D,280819,0000,218.88,219.05,215.61,217.89,51323830
SBER,D,290819,0000,218.08,219.08,217.18,218.3,30139230
SBER,D,300819,0000,218.47,221.5,218.05,221.5,35886460
SBER,D,310819,0000,221.91,225.2,221.21,224.2,58155090
SBER,D,030919,0000,224.05,227.84,223.41,226.68,38911370
SBER,D,040919,0000,225.94,226.25,222.05,224,44465820
SBER,D,050919,0000,225.3,227.5,224.69,227.1,41551160
SBER,D,060919,0000,229.51,230.93,228.36,230.79,54585230
SBER,D,070919,0000,231,231.2,228.36,229.02,37869960
SBER,D,100919,0000,229.88,230.87,227.61,229,22721370
SBER,D,110919,0000,228.6,235.23,227.1,233.3,60365220
SBER,D,120919,0000,233.5,235.9,232.62,234.72,41834400
SBER,D,130919,0000,234.9,235.42,232.81,234.57,38921290
SBER,D,140919,0000,234.17,235,231.91,233,23097450
SBER,D,170919,0000,234.98,235.53,233.2,235.32,39411110
SBER,D,180919,0000,235.22,237.2,233.99,235.89,55730800
SBER,D,190919,0000,235.71,236.45,234.45,235.3,25586000
SBER,D,200919,0000,234.86,235.49,233.12,234.98,39418060
SBER,D,210919,0000,234.98,235.5,230.72,232,40550620
SBER,D,240919,0000,231.71,232.17,229.05,229.7,28163380
SBER,D,250919,0000,229.95,231.99,227.11,227.5,43394690
SBER,D,260919,0000,226.5,228.3,225.3,228.09,37893030
SBER,D,270919,0000,228.23,230.9,227.71,229.09,32718120
SBER,D,280919,0000,229.2,229.96,228.05,228.05,18019780
SBER,D,011019,0000,228.57,229,226.05,227.71,30218260
SBER,D,021019,0000,227.61,229.56,226.49,226.49,29831350
SBER,D,031019,0000,226.05,226.63,223.03,223.5,42412900
SBER,D,041019,0000,223.59,225.64,222.61,224.08,38355010
SBER,D,051019,0000,224.9,226.06,221.87,222.76,32106750
SBER,D,081019,0000,223.17,227.8,222.41,227.55,40102200
SBER,D,091019,0000,227.75,228.18,225.15,226.03,30959840
SBER,D,101019,0000,226.03,229,225.52,227.7,39702090
SBER,D,111019,0000,227.7,228.94,225.62,228.5,31708420
SBER,D,121019,0000,229.5,231.2,228.97,230.31,37412420
SBER,D,151019,0000,230.29,230.67,227.82,228.4,34582240
SBER,D,161019,0000,228.6,229.88,227,229.4,30721760
SBER,D,171019,0000,229.1,231.2,229.1,231,39205260
SBER,D,181019,0000,230.74,233.5,230.52,233.5,45971100
SBER,D,191019,0000,233.21,236.03,232.8,235.55,42706040
SBER,D,221019,0000,236.02,236.88,234.04,234.94,28395030
SBER,D,231019,0000,235.02,239.77,235,239.77,40288490
SBER,D,241019,0000,239.2,240.18,237.76,239.57,34578200
SBER,D,251019,0000,239.63,242.78,239.06,242.78,40358060
SBER,D,261019,0000,242.55,242.77,237.85,240,49759850
SBER,D,291019,0000,240.51,242.33,235.25,237.03,39033330
SBER,D,301019,0000,237.1,240.2,236,240.11,41488880
SBER,D,311019,0000,239.69,242.2,237.85,239.51,43559920
SBER,D,011119,0000,240.72,242,234.01,234.89,60238840
SBER,D,021119,0000,235.35,236.74,232.8,236.4,39183190
SBER,D,061119,0000,239.6,240.98,236.7,238.53,43257820
SBER,D,071119,0000,238.42,239.02,236.52,239.02,33383900
SBER,D,081119,0000,238.11,242.95,237.71,242.5,44637570
SBER,D,091119,0000,241.42,241.68,238.7,240.17,30473030
SBER,D,121119,0000,239.02,242.4,238.31,241.5,27111060
SBER,D,131119,0000,241.8,243.74,239.5,239.87,35513320
SBER,D,141119,0000,239.06,239.57,235.81,237.21,31373320
SBER,D,151119,0000,237.62,239.13,236.82,237.5,34316400
SBER,D,161119,0000,237.85,240.18,236.45,240,30652680
SBER,D,191119,0000,240.59,241.23,236.36,237.45,32941310
SBER,D,201119,0000,237.52,239.82,237.2,239.25,29128910
SBER,D,211119,0000,238.6,240.2,237.1,237.78,28091490
SBER,D,221119,0000,237.37,238,235.8,237.15,24612470
SBER,D,231119,0000,236.58,240.19,236.53,238.13,33565030
SBER,D,261119,0000,238.68,239.75,237.21,237.98,17536530
SBER,D,271119,0000,238.01,238.1,234.35,235,58327470
SBER,D,281119,0000,235.25,236.45,233.51,234.22,21871060
SBER,D,291119,0000,234.1,235.5,233.1,235.2,18849720
SBER,D,301119,0000,234.65,235.14,231.97,233.98,27230330
SBER,D,031219,0000,234.59,236.37,233,233.77,28186930
SBER,D,041219,0000,233.28,234.06,230.13,230.66,26676820
SBER,D,051219,0000,230.72,232.24,229.5,231.59,24285490
SBER,D,061219,0000,231.89,232.15,229.03,231.71,23157550
SBER,D,071219,0000,232,235.14,231.55,235.14,33265080
SBER,D,101219,0000,235.46,237.5,234.3,237.04,31683450
SBER,D,111219,0000,236.6,239.29,236,237.91,36059810
SBER,D,121219,0000,237.81,241.23,237.7,240.32,44152540
SBER,D,131219,0000,242.01,242.3,240.09,241.05,36011490
SBER,D,141219,0000,242.02,243.25,241.1,241.21,33100880
SBER,D,171219,0000,242.02,242.48,240.13,241.45,25489190
SBER,D,181219,0000,241.82,242.96,241,241.6,33821980
SBER,D,191219,0000,241.21,246.25,240.36,246.2,55754300
SBER,D,201219,0000,246.27,248.4,243.1,244,59872840
SBER,D,211219,0000,244.6,245.4,243.72,244.71,32926290
SBER,D,241219,0000,244.75,249.19,244.07,248.8,23950490
SBER,D,251219,0000,248.8,249.89,247.27,248.67,21016800
SBER,D,261219,0000,248.98,249.3,247.11,248.04,7910360
SBER,D,271219,0000,248.2,249.24,246.71,248.24,12979620
SBER,D,281219,0000,248.56,252.95,248.55,252.06,31907600
SBER,D,311219,0000,252.09,256,250.73,254.75,43131930
SBER,D,040120,0000,255.97,258.19,253.7,255,35824160
SBER,D,070120,0000,254.75,254.84,251.4,253.9,22327940
SBER,D,090120,0000,253.62,259.15,253.03,259.15,40736030
SBER,D,100120,0000,259.41,261.76,257.01,257.99,38196300
SBER,D,110120,0000,257.91,259.25,256.88,258.19,18841650
SBER,D,140120,0000,258.21,262.4,257.15,262.4,25849900
SBER,D,150120,0000,262.58,263.22,258.62,259.05,31097130
SBER,D,160120,0000,258.45,258.91,254.21,256.31,49328500
SBER,D,170120,0000,257.11,259.51,256.1,257.51,40225420
SBER,D,180120,0000,258.2,262.82,257.75,262.5,44891340
SBER,D,210120,0000,263.22,266.97,261.8,266.28,29749210
SBER,D,220120,0000,265.47,268.9,263.02,268.06,37927820
SBER,D,230120,0000,268.63,270.8,265.5,266.54,44170920
SBER,D,240120,0000,264.9,266.89,262.24,263.73,40484270
SBER,D,250120,0000,264.53,267.5,264.21,265.49,27246250
SBER,D,280120,0000,260.99,262.1,255.32,255.32,56011660
SBER,D,290120,0000,257.05,258.84,254.1,257.7,47921360
SBER,D,300120,0000,258.4,261.57,257.61,259.94,34921040
SBER,D,310120,0000,257.97,258.69,255.27,257.31,31552340
SBER,D,010220,0000,258.5,259.2,252.17,252.2,47800190
SBER,D,040220,0000,251.8,254.96,251.1,253.99,52621110
SBER,D,050220,0000,255.33,257.38,252.9,255.4,49731290
SBER,D,060220,0000,255.89,257.66,253.14,255.2,50719760
SBER,D,070220,0000,256.66,258,251.86,252.11,43319020
SBER,D,080220,0000,253.13,254.3,248.73,254.3,50059840
SBER,D,110220,0000,254.55,255.73,252.07,252.26,34935840
SBER,D,120220,0000,253.78,259.77,253,254.5,79392360
SBER,D,130220,0000,255.4,255.49,252.31,254.5,52447350
SBER,D,140220,0000,253.62,255.18,252.5,253.89,36654420
SBER,D,150220,0000,254.38,254.38,251.4,251.75,29982140
SBER,D,180220,0000,252.5,253.1,250.13,251.36,26370580
SBER,D,190220,0000,250.08,250.44,247.57,249.2,36259430
SBER,D,200220,0000,250.37,250.68,247.95,249.7,25740870
SBER,D,210220,0000,250.07,252.17,249.13,250.15,30707880
SBER,D,220220,0000,248.42,251.49,247.24,250.8,27682840
SBER,D,260220,0000,247.98,248.83,245.17,245.19,40505070
SBER,D,270220,0000,244.75,251.21,243.22,250.8,67529090
SBER,D,280220,0000,247.5,248.98,242,242.88,57887670
SBER,D,290220,0000,234.96,239,231,233.36,123187610
SBER,D,030320,0000,238.55,241,218.86,228.17,101688550
SBER,D,040320,0000,233,239,232.28,236.63,83491100
SBER,D,050320,0000,234.13,236.7,232.62,235.27,54165550
SBER,D,060320,0000,237.03,238.72,230.64,232.33,56972700
SBER,D,070320,0000,227.99,229.2,216.67,219.99,103932680
SBER,D,110320,0000,197.99,212.74,184.86,201.2,243308680
SBER,D,120320,0000,202.2,204.33,192.05,194.53,137765860
SBER,D,130320,0000,185.17,187.87,173.14,175.91,197162330
SBER,D,140320,0000,175,199.52,174.3,198.6,262618120
SBER,D,170320,0000,194,196.7,186,195.85,173656160
SBER,D,180320,0000,194.92,204.78,183.8,184.01,183602360
SBER,D,190320,0000,178.95,182.2,172.15,174.27,154736970
SBER,D,200320,0000,178.5,190.15,173.06,189.51,187222370
SBER,D,210320,0000,198.62,201.86,192.05,195.69,170124950
SBER,D,240320,0000,188,190.99,182.1,183.37,157690770
SBER,D,250320,0000,193.3,195,189.1,192.64,104281150
SBER,D,260320,0000,196.37,201,182.32,188.08,187724830
SBER,D,270320,0000,187.69,191.2,182.8,188.07,111338470
SBER,D,280320,0000,188.05,188.97,180.17,180.38,114106500
SBER,D,310320,0000,177.03,183.2,174.9,183,93995170
SBER,D,010420,0000,186,188.77,184.25,187.21,113605840
SBER,D,020420,0000,183.2,185.47,182,184.78,76453050
SBER,D,030420,0000,188.34,189.9,182,186.95,125289380
SBER,D,040420,0000,186.6,187.49,184.28,185.64,92726520
SBER,D,070420,0000,187.52,192.02,186.42,190.7,77520920
SBER,D,080420,0000,193.1,200.54,193.06,197.63,136262480
SBER,D,090420,0000,196.2,200.29,195.12,200.29,89695510
SBER,D,100420,0000,202.4,205.44,199.3,203.61,109748080
SBER,D,110420,0000,201.85,202.75,200.7,201.99,28658630
SBER,D,140420,0000,201.99,202.16,197.32,198.26,41196340
SBER,D,150420,0000,199.99,202.85,196.1,197.37,80132500
SBER,D,160420,0000,196,196.25,186.06,186.07,97979270
SBER,D,170420,0000,187.22,191.67,183.53,188.5,109069050
SBER,D,180420,0000,192.5,192.7,188.28,191.8,71522530
SBER,D,210420,0000,190.6,192.23,187.31,189.32,62162030
SBER,D,220420,0000,185.54,187.5,183.65,186.05,94053840
SBER,D,230420,0000,185.05,191.94,184.5,190.2,75194080
SBER,D,240420,0000,192,192.5,188.68,190.94,62581600
SBER,D,250420,0000,189.73,191.65,187.7,188.91,55252250
SBER,D,280420,0000,189.95,190.5,188.43,188.9,43627150
SBER,D,290420,0000,188.55,194.22,188.17,192.8,78555750
SBER,D,300420,0000,194.36,195.8,192.86,195.8,69766160
SBER,D,010520,0000,196.52,199.7,195.46,197.25,87028430
SBER,D,050520,0000,195.68,195.68,193.26,193.69,56239930
SBER,D,060520,0000,195.54,196.46,194,194.75,35239920
SBER,D,070520,0000,194.99,197.23,194.3,195.7,49513900
SBER,D,080520,0000,196,198.15,195.06,195.51,57670560
SBER,D,090520,0000,196,196.25,194.6,196.02,33775280
SBER,D,130520,0000,193.3,198,191.2,191.4,67270320
SBER,D,140520,0000,190.05,190.6,186.66,187.31,63256890
SBER,D,150520,0000,186.49,188.2,183.5,183.81,76532900
SBER,D,160520,0000,186.13,186.78,183.33,183.85,63033850
SBER,D,190520,0000,186.06,190,185.4,188.93,77252650
SBER,D,200520,0000,190.38,192.55,186.8,189,105168650
SBER,D,210520,0000,188.45,193.98,186.6,193.98,93311880
SBER,D,220520,0000,194,196.31,191.5,192.4,79390610
SBER,D,230520,0000,190.97,191.25,188.6,188.9,56926660
SBER,D,260520,0000,189.62,191.31,188.8,191,23090830
SBER,D,270520,0000,192.83,196.1,192.11,194,79038520
SBER,D,280520,0000,194.01,198.97,193.32,198.51,115900270
SBER,D,290520,0000,199.33,205,198.4,205,117073600
SBER,D,300520,0000,204.2,204.4,199.17,200.5,106525280
SBER,D,020620,0000,203.1,205.93,201.81,203.66,65100110
SBER,D,030620,0000,204.57,212,204,212,116798700
SBER,D,040620,0000,214,221.92,213.51,221.5,144505760
SBER,D,050620,0000,220.67,221,212.55,213.1,122406780
SBER,D,060620,0000,215.13,219.93,213.6,219.1,88508590
SBER,D,090620,0000,219.73,223.15,217.45,220.3,88612450
SBER,D,100620,0000,221.19,221.88,215.44,217.23,69097350
SBER,D,110620,0000,217,217.58,211.82,212.53,91851980
SBER,D,120620,0000,208.99,209.24,206.01,208.35,69726170
SBER,D,160620,0000,205.07,207.85,202.3,207.32,75360850
SBER,D,170620,0000,210.3,212.19,207.52,207.76,66267920
SBER,D,180620,0000,208.52,210.35,206.94,208.14,56455710
SBER,D,190620,0000,207.8,208.1,202.72,203.77,72204680
SBER,D,200620,0000,205.39,209.2,204.55,207,74923730
SBER,D,230620,0000,206.7,207.95,204.28,206.4,58621480
SBER,D,240620,0000,207.51,209.74,206.43,207.3,53213440
SBER,D,260620,0000,200.99,207,200.75,206.92,70420930
SBER,D,270620,0000,206.97,207.5,201.76,203.15,46627040
SBER,D,300620,0000,201.09,205.86,200.97,205.8,42613600
SBER,D,010720,0000,205.66,206,202.36,203.22,43705610
SBER,D,030720,0000,205.01,210.15,204.28,209.6,76154820
SBER,D,040720,0000,210,211.97,209,210.95,50602810
SBER,D,070720,0000,212.94,216.79,212.94,214.61,55118170
SBER,D,080720,0000,212.9,214.23,210.51,210.53,44709210
SBER,D,090720,0000,210.8,212.29,209.3,210.97,41999670
SBER,D,100720,0000,210.7,211.7,208.1,209.11,45129130
SBER,D,110720,0000,207.5,212.6,206.57,212.28,50631590
SBER,D,140720,0000,213.86,214.2,208.11,208.39,51159680
SBER,D,150720,0000,208.38,209.58,205.7,209.5,65996740
SBER,D,160720,0000,210.29,211.8,207.65,211.09,49443460
SBER,D,170720,0000,209.7,212.6,208.63,211.35,38986190
SBER,D,180720,0000,211.68,212.18,209.86,210.81,36123640
SBER,D,210720,0000,210.27,214.48,209.08,213.89,44482520
SBER,D,220720,0000,215,219.1,214.38,215.73,75241030
SBER,D,230720,0000,215.98,217.65,213.56,216.71,48418830
SBER,D,240720,0000,217.49,219.28,215,215.41,43348380
SBER,D,250720,0000,214.78,217.41,197.73,215.97,53375040
SBER,D,280720,0000,216.64,218.38,215.15,216.9,38282820
SBER,D,290720,0000,216.82,217.42,215.25,215.53,24557890
SBER,D,300720,0000,215.89,219.18,215.63,219.18,41332240
SBER,D,310720,0000,218.71,218.88,215.34,218.15,51172130
SBER,D,010820,0000,218.18,221.98,217.43,221.57,59643550
SBER,D,040820,0000,222.27,228.36,221.3,226.72,64491510
SBER,D,050820,0000,227.39,228.85,225.63,227.16,41990440
SBER,D,060820,0000,228.15,229.17,224.31,226.4,54596910
SBER,D,070820,0000,226.6,227.43,224.35,226,30150840
SBER,D,080820,0000,225.05,227.6,224.46,227.28,35603190
SBER,D,110820,0000,227.88,228.7,224.51,225.99,43443970
SBER,D,120820,0000,226.21,234.73,226.21,232.65,81839190
SBER,D,130820,0000,233.14,242.5,233.03,242.4,100956370
SBER,D,140820,0000,242.14,244.04,238.57,241.39,85633070
SBER,D,150820,0000,242,242.22,238.47,239.99,44251150
SBER,D,180820,0000,240.8,242.35,234.5,237.8,77010820
SBER,D,190820,0000,236.88,239.83,235.69,236.3,36709210
