<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TCSG,D,030523,0000,2759,2799,2592.5,2679,431045
TCSG,D,040523,0000,2678,2723,2602,2629,367881
TCSG,D,050523,0000,2639,2685,2622,2652.5,169452
TCSG,D,060523,0000,2655.5,2665.5,2610.5,2615.5,125960
TCSG,D,090523,0000,2618.5,2639,2593.5,2610,69997
TCSG,D,110523,0000,2625.5,2720,2613.5,2718,204156
TCSG,D,120523,0000,2725.5,2745.5,2600.5,2675,316798
TCSG,D,130523,0000,2684.5,2705,2651,2670,110941
TCSG,D,160523,0000,2681,2775,2681,2775,312585
TCSG,D,170523,0000,2788,2914,2775.5,2892,454212
