<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VKCO,10,150321,1010,1825,1827,1815.4,1821.2,23478
VKCO,10,150321,1020,1821.6,1834.8,1820,1832.4,19162
VKCO,10,150321,1030,1832.4,1840,1831.4,1838.6,16471
VKCO,10,150321,1040,1838.6,1838.6,1831.6,1831.6,6946
VKCO,10,150321,1050,1832.6,1845,1827.4,1837.6,23487
VKCO,10,150321,1100,1839.6,1841,1836.4,1838,6313
VKCO,10,150321,1110,1838,1838,1831,1835.6,8548
VKCO,10,150321,1120,1834.8,1839.8,1834.8,1835,11768
VKCO,10,150321,1130,1835.6,1837.4,1834.4,1835.2,8801
VKCO,10,150321,1140,1835.2,1836,1825.2,1827.6,29139
VKCO,10,150321,1150,1827.6,1830.2,1824,1829.2,23581
VKCO,10,150321,1200,1829.4,1830.8,1826.6,1827.8,15583
VKCO,10,150321,1210,1827.8,1827.8,1822,1825,16827
VKCO,10,150321,1220,1823.8,1824.4,1817.8,1817.8,16235
VKCO,10,150321,1230,1817.6,1819.2,1816,1818,12138
VKCO,10,150321,1240,1818,1818.8,1816,1818,8168
VKCO,10,150321,1250,1818,1822.6,1816.4,1819.2,34717
VKCO,10,150321,1300,1819.2,1825,1816.4,1816.8,19845
VKCO,10,150321,1310,1817.2,1819,1816.6,1818.6,7820
VKCO,10,150321,1320,1818.6,1820,1817.4,1818.8,3523
VKCO,10,150321,1330,1818.6,1821.4,1816.6,1820.4,17522
VKCO,10,150321,1340,1820.8,1824,1820.8,1822.6,8960
VKCO,10,150321,1350,1822.6,1822.6,1820.2,1821.2,3358
VKCO,10,150321,1400,1821,1821.2,1819,1820.4,3575
VKCO,10,150321,1410,1819.4,1821.8,1816.8,1816.8,25589
VKCO,10,150321,1420,1818,1821.6,1815.2,1819.8,14503
VKCO,10,150321,1430,1820.6,1820.6,1817.2,1818.4,4210
VKCO,10,150321,1440,1818.4,1822.2,1818.4,1821,3440
VKCO,10,150321,1450,1820.8,1822.6,1819.6,1821.4,5744
VKCO,10,150321,1500,1820.8,1822.6,1820.6,1822,4439
VKCO,10,150321,1510,1822.4,1823,1820.4,1821,5558
VKCO,10,150321,1520,1821,1822,1820,1820.4,1815
VKCO,10,150321,1530,1820,1821,1819.2,1820.6,1594
VKCO,10,150321,1540,1820.8,1821.6,1819,1821.6,2169
VKCO,10,150321,1550,1821,1821.8,1819,1821,1996
VKCO,10,150321,1600,1821,1822,1820.8,1820.8,1673
VKCO,10,150321,1610,1820.8,1823,1820.2,1822.8,3958
VKCO,10,150321,1620,1822.8,1826.6,1820.8,1825.6,5051
VKCO,10,150321,1630,1825,1827,1823.8,1824.8,7805
VKCO,10,150321,1640,1824.8,1824.8,1821.2,1822.8,8408
VKCO,10,150321,1650,1823,1823.2,1821.6,1822.8,9669
VKCO,10,150321,1700,1822,1825.6,1821.2,1823.6,13912
VKCO,10,150321,1710,1823,1824,1817,1822.2,9078
VKCO,10,150321,1720,1822.6,1824.4,1821.4,1824.2,2936
VKCO,10,150321,1730,1824.2,1824.2,1822.2,1823.6,1065
VKCO,10,150321,1740,1823.2,1824.2,1822.4,1824,1780
VKCO,10,150321,1750,1824,1826.8,1822.8,1822.8,4703
VKCO,10,150321,1800,1822.8,1822.8,1818.4,1818.6,9320
VKCO,10,150321,1810,1818.6,1818.6,1810.8,1816.8,44949
VKCO,10,150321,1820,1816,1817,1811.2,1812.2,10475
VKCO,10,150321,1830,1813,1818,1808.2,1810.2,34117
VKCO,10,150321,1840,1810.8,1812.4,1808.8,1811.8,8272
VKCO,10,150321,1850,1808.2,1808.2,1808.2,1808.2,16959
VKCO,10,150321,1910,1809.2,1818.6,1809.2,1815.6,2015
VKCO,10,150321,1920,1815.6,1817.6,1814.6,1817.2,3019
VKCO,10,150321,1930,1817.2,1818.6,1812,1812.8,3690
VKCO,10,150321,1940,1812.8,1815.8,1811.8,1814.2,3967
VKCO,10,150321,1950,1814,1815.4,1812.6,1814,977
VKCO,10,150321,2000,1814,1817,1813.2,1816,765
VKCO,10,150321,2010,1817,1818,1816,1816.8,1027
VKCO,10,150321,2020,1816.8,1818,1816,1818,969
VKCO,10,150321,2030,1818,1820,1817.8,1820,646
VKCO,10,150321,2040,1819.8,1821.8,1819.8,1821.2,1946
VKCO,10,150321,2050,1821.2,1822.4,1821,1821.8,1472
VKCO,10,150321,2100,1821.8,1822.4,1821.6,1822.2,682
VKCO,10,150321,2110,1822,1824.8,1821.6,1824.8,2485
VKCO,10,150321,2120,1824.6,1829.4,1824.2,1828.2,6313
VKCO,10,150321,2130,1829.4,1829.8,1826,1827,5631
VKCO,10,150321,2140,1827,1829.8,1827,1828,1595
VKCO,10,150321,2150,1828,1829.2,1827,1827.6,1335
VKCO,10,150321,2200,1827.8,1828.2,1823.6,1824,2290
VKCO,10,150321,2210,1823.8,1827,1823,1827,3022
VKCO,10,150321,2220,1826,1827,1825.2,1826.6,576
VKCO,10,150321,2230,1826.6,1827,1825,1826.2,519
VKCO,10,150321,2240,1826.8,1827.6,1826.2,1826.8,688
VKCO,10,150321,2250,1826.4,1827.8,1826,1827.8,827
VKCO,10,150321,2300,1827.8,1829,1827,1829,1282
VKCO,10,150321,2310,1829,1829.8,1828.2,1829,3781
VKCO,10,150321,2320,1829.4,1832.4,1828.2,1832,2099
VKCO,10,150321,2330,1832,1834.4,1832,1834.2,2556
VKCO,10,150321,2340,1834.2,1834.2,1832,1833.8,1233
VKCO,10,150321,2350,1832.6,1834.8,1832.4,1834,2796
VKCO,10,160321,1010,1839.8,1840.8,1830,1839.8,20735
VKCO,10,160321,1020,1839.6,1840,1832.2,1836.2,13136
VKCO,10,160321,1030,1835,1836.6,1832.2,1836.6,5319
VKCO,10,160321,1040,1835.6,1836.8,1828.8,1831,7898
VKCO,10,160321,1050,1831.2,1833,1826.8,1832,7984
VKCO,10,160321,1100,1830.8,1836,1829,1832,5146
VKCO,10,160321,1110,1832.2,1834.2,1821.2,1823,16088
VKCO,10,160321,1120,1823,1824,1810.4,1813.6,31255
VKCO,10,160321,1130,1814.6,1820.8,1812,1819,16283
VKCO,10,160321,1140,1819.6,1821.6,1817,1821.6,8589
VKCO,10,160321,1150,1821.2,1822.2,1815,1816.6,10037
VKCO,10,160321,1200,1816.6,1816.6,1810.2,1812,15840
VKCO,10,160321,1210,1812,1814.2,1810,1814.2,14154
VKCO,10,160321,1220,1814,1814.8,1810.2,1812.2,14516
VKCO,10,160321,1230,1812.6,1814.2,1810,1811.6,14898
VKCO,10,160321,1240,1811.8,1814.2,1810.6,1813,3246
VKCO,10,160321,1250,1814,1814.6,1809,1810.2,25384
VKCO,10,160321,1300,1810.2,1812.4,1808.4,1812.4,7774
VKCO,10,160321,1310,1812.2,1812.4,1808.8,1810.8,10002
VKCO,10,160321,1320,1810,1811,1808.4,1809,8731
VKCO,10,160321,1330,1808.8,1810,1808.4,1808.4,4131
VKCO,10,160321,1340,1809.6,1810.2,1808.2,1808.6,10890
VKCO,10,160321,1350,1808.4,1812,1808.2,1811.2,8650
VKCO,10,160321,1400,1811.2,1813,1809.4,1811,6529
VKCO,10,160321,1410,1811.2,1811.2,1810,1810.4,2488
VKCO,10,160321,1420,1810.4,1814.4,1810.2,1814,7196
VKCO,10,160321,1430,1814,1815,1811.8,1814.6,6444
VKCO,10,160321,1440,1814.6,1815.2,1812.2,1813.8,6131
VKCO,10,160321,1450,1813.4,1813.8,1811,1811,6687
VKCO,10,160321,1500,1812.2,1812.6,1810.2,1811.6,12038
VKCO,10,160321,1510,1812,1814.8,1810.4,1813.6,3728
VKCO,10,160321,1520,1813,1813.6,1810.2,1811.8,4719
VKCO,10,160321,1530,1811.8,1811.8,1809,1810.4,30127
VKCO,10,160321,1540,1810,1810.6,1808,1808,37239
VKCO,10,160321,1550,1809,1809.6,1806.8,1807,6857
VKCO,10,160321,1600,1806.8,1808.6,1806.8,1807.6,5089
VKCO,10,160321,1610,1807.8,1807.8,1806,1806.6,9031
VKCO,10,160321,1620,1806.6,1810.6,1806.2,1809,3844
VKCO,10,160321,1630,1808.8,1811.8,1808,1811.4,7252
VKCO,10,160321,1640,1812,1816.8,1810.4,1810.8,20132
VKCO,10,160321,1650,1810.6,1813.8,1808,1810.2,8903
VKCO,10,160321,1700,1811.2,1813.8,1810,1813.8,8775
VKCO,10,160321,1710,1813.8,1817.6,1813,1814.2,20020
VKCO,10,160321,1720,1813.4,1814.2,1810,1810.6,9138
VKCO,10,160321,1730,1812,1813.4,1810,1812,5292
VKCO,10,160321,1740,1812,1812.4,1807,1808.6,13391
VKCO,10,160321,1750,1807.6,1811.4,1807.2,1809.4,10319
VKCO,10,160321,1800,1809.4,1809.8,1807.4,1809,15007
