<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XBTUSD,D,160319,0300,3853.9,3909.8,3846.8,3900.2,2890.5468131
XBTUSD,D,170319,0300,3900.1,4042.5,3899.7,3989.2,4433.96527029
XBTUSD,D,180319,0300,3989.5,3989.6,3937.4,3965,1470.32997851
XBTUSD,D,190319,0300,3965.1,4019.9,3935.2,3969.6,3731.05753334
XBTUSD,D,200319,0300,3969.6,4010,3950,4000,3209.59684619
XBTUSD,D,210319,0300,3999.9,4048.8,3963.4,4032.1,3934.60707367
XBTUSD,D,220319,0300,4030.9,4064.4,3871.3,3972.4,4867.14441589
XBTUSD,D,230319,0300,3972.5,3999,3960,3982.1,2481.95907983
XBTUSD,D,240319,0300,3982.1,4000.4,3961,3982.5,1616.99006845
XBTUSD,D,250319,0300,3982.4,3982.4,3944.4,3969.3,2067.31600017
XBTUSD,D,260319,0300,3968.6,3976.6,3855.5,3905.9,4822.94880118
XBTUSD,D,270319,0300,3905.9,3921.6,3882.8,3918.9,2316.83494036
XBTUSD,D,280319,0300,3919,4037.3,3913,4025.8,4241.28435209
XBTUSD,D,290319,0300,4025,4025,3994.8,4013.8,2373.31508999
XBTUSD,D,300319,0300,4013.3,4100,4005.9,4088.9,4465.02001546
XBTUSD,D,310319,0300,4088.4,4130,4040,4090.9,2493.45384143
XBTUSD,D,010419,0300,4092.2,4100,4073.7,4095.2,947.56836123
XBTUSD,D,020419,0300,4095.1,4148.6,4051.7,4137.8,4663.4331354
XBTUSD,D,030419,0300,4137.9,5142.9,4133.1,4902.9,22863.72476824
XBTUSD,D,040419,0300,4899.4,5362.7,4751,4972.2,20191.08480553
XBTUSD,D,050419,0300,4971.2,5075.1,4782.1,4905.7,10863.87634326
XBTUSD,D,060419,0300,4905.7,5091.9,4886,5038.1,5596.85362509
XBTUSD,D,070419,0300,5037.4,5240,4895.9,5044.4,5810.7632637
XBTUSD,D,080419,0300,5044.1,5270,5015.7,5194.2,5504.64227949
XBTUSD,D,090419,0300,5194.4,5359.8,5125.5,5285.1,7445.36236745
XBTUSD,D,100419,0300,5287.7,5287.7,5144.9,5190.8,5767.68205057
XBTUSD,D,110419,0300,5191.9,5464,5167.8,5321,8788.85314202
XBTUSD,D,120419,0300,5321.4,5343.4,4960.1,5041.7,8920.37095503
XBTUSD,D,130419,0300,5040.7,5115.9,4920,5078.8,5355.40958017
XBTUSD,D,140419,0300,5077.3,5122,5036.1,5065.6,2471.77936811
XBTUSD,D,150419,0300,5065.6,5190.1,5008,5158.4,2495.60383228
XBTUSD,D,160419,0300,5159.1,5188.7,4942.8,5034.8,4722.14778882
XBTUSD,D,170419,0300,5034.8,5245,5017.9,5204.1,5313.7177985
